Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
STLTECH,93.95,7.0,17.5,HIGH,100,1
HFCL,93.92,5.0,15.04,HIGH,100,2
NINSYS,93.85,5.0,13.54,HIGH,100,3
BBOX,93.55,5.0,13.71,HIGH,100,4
SASKEN,93.5,5.0,13.36,HIGH,100,5
VENUSREM,93.1,7.0,12.71,HIGH,100,6
PREMIERENE,93.05,5.0,10.71,HIGH,100,7
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8
BLISSGVS,92.86,5.0,13.32,HIGH,100,9
EMMVEE,92.84,5.0,11.43,HIGH,100,10
KERNEX,92.72,7.0,12.51,HIGH,100,11
SUVEN,92.42,5.0,12.36,HIGH,100,12
DEEPINDS,92.3,7.0,11.0,HIGH,100,13
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14
IOLCP,92.11,5.0,12.19,HIGH,100,15
OFSS,92.01,7.0,11.56,HIGH,100,16
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17
RUBICON,91.82,7.0,11.78,HIGH,100,18
SIGMAADV,91.78,5.0,15.32,HIGH,100,19
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20
VIDYAWIRES,91.49,5.0,13.05,HIGH,100,21
INSPIRISYS,91.39,5.0,11.83,HIGH,100,22
SAKAR,91.36,5.0,11.86,HIGH,100,23
KSHITIJPOL,91.18,7.0,13.34,HIGH,100,24
CYIENTDLM,90.88,7.0,11.37,HIGH,100,25
CEMPRO,90.81,5.0,12.57,HIGH,100,26
BIRLACABLE,90.66,7.0,11.29,HIGH,100,27
PALREDTEC,90.62,5.0,11.21,HIGH,100,28
RATEGAIN,90.58,5.0,11.29,HIGH,100,29
BLUSPRING,90.57,7.0,11.36,HIGH,100,30
SYRMA,90.55,5.0,10.94,HIGH,100,31
AEROFLEX,90.55,5.0,11.82,HIGH,100,32
APOLLO,90.51,5.0,12.24,HIGH,100,33
WOCKPHARMA,90.39,7.0,11.54,HIGH,100,34
EXICOM,90.36,5.0,12.02,HIGH,100,35
BANKA,90.18,5.0,11.47,HIGH,100,36
ASTRAMICRO,90.16,5.0,10.99,HIGH,100,37
SANGINITA,90.13,5.0,12.51,HIGH,100,38
PRECWIRE,90.13,5.0,11.87,HIGH,100,39
THERMAX,90.09,5.0,11.2,HIGH,100,40
ACMESOLAR,90.02,7.0,10.7,HIGH,100,41
AVALON,90.02,5.0,11.29,HIGH,100,42
ADANIENSOL,90.01,5.0,11.02,HIGH,100,43
BAFNAPH,90.01,7.0,10.55,HIGH,100,44
SBCL,89.97,5.0,11.82,HIGH,100,45
