Symbol,ENTRY_SCORE,RSI,VOLUME_RATIO,EMA20,EMA50,DISTANCE_TO_HIGH,ENTRY_RANK
RIIL.NS,7,68.54,2.2,757.75,753.8,-2369.4,1.0
UTTAMSUGAR.NS,7,62.39,2.43,240.91,240.37,-2201.21,1.0
GANESHBE.NS,7,76.54,7.09,98.26,94.22,0.0,1.0
OPTIEMUS.NS,7,65.67,1.52,421.97,412.49,-3383.0,1.0
GREENPLY.NS,7,75.94,4.42,259.93,248.3,-1474.03,1.0
GANESHHOU.NS,7,77.5,2.89,708.57,684.02,-2392.42,1.0
EFFWA.NS,7,77.21,2.63,271.88,250.07,0.0,1.0
ORIENTHOT.NS,7,60.6,1.67,99.2,98.86,-3818.2,1.0
ORTINGLOBE.NS,7,76.49,2.14,15.73,15.38,-899.5,1.0
RTNINDIA.NS,7,83.12,2.37,35.64,34.58,-4064.67,1.0
RICOAUTO.NS,7,74.01,4.1,119.93,117.79,-303.51,1.0
CONSOFINVT.NS,7,63.03,3.63,232.87,226.27,-284.81,1.0
HITECHCORP.NS,7,98.75,6.86,219.71,180.23,0.0,1.0
RPEL.NS,7,87.29,1.94,928.61,833.85,0.0,1.0
VETO.NS,7,89.94,6.03,119.12,112.18,0.0,1.0
BCG.NS,7,80.58,5.36,10.45,10.06,-4075.33,1.0
SJLOGISTIC.NS,7,76.25,2.14,323.88,315.01,-2881.47,1.0
ATALREAL.NS,7,73.53,1.86,29.05,27.52,0.0,1.0
RSWM.NS,7,83.66,13.13,173.22,163.49,0.0,1.0
BLUSPRING.NS,7,77.05,9.16,74.97,68.56,-205.37,1.0
ARVEE.NS,7,63.27,7.02,161.77,161.59,-4188.05,1.0
ATLASCYCLE.NS,7,61.27,1.53,100.45,98.51,-2876.9,1.0
VADILALIND.NS,7,97.86,2.7,4861.02,4692.03,-174.24,1.0
MTNL.NS,7,72.83,1.96,30.25,30.01,-4293.33,1.0
UTLSOLAR.NS,7,72.94,3.58,302.88,274.52,-561.7,1.0
VIJIFIN.NS,7,61.61,2.32,3.9,3.64,-1173.91,1.0
SIS.NS,7,69.57,3.39,397.75,368.49,-53.07,1.0
JMA.NS,7,70.61,2.14,87.75,86.42,-767.15,1.0
JNKINDIA.NS,7,71.69,3.15,375.7,342.0,0.0,1.0
NGLFINE.NS,7,70.17,1.57,2582.41,2417.91,-406.1,1.0
ITDC.NS,7,86.36,18.48,567.93,553.21,0.0,1.0
PARAS.NS,7,81.41,4.85,834.48,786.95,0.0,1.0
GTL.NS,7,79.58,6.0,7.53,7.39,-3325.08,1.0
KIRLOSBROS.NS,7,63.97,5.39,1643.86,1637.06,-2682.54,1.0
PIRAMALFIN.NS,7,63.53,1.6,1937.11,1887.71,-139.27,1.0
TIPSMUSIC.NS,7,62.29,5.15,657.54,625.28,-49.81,1.0
DJML.NS,7,86.42,1.85,101.29,95.3,-1027.85,1.0
JKIPL.NS,7,79.25,3.78,88.96,83.76,-2092.61,1.0
GUFICBIO.NS,7,88.6,1.5,325.6,309.61,-763.79,1.0
MANUGRAPH.NS,7,72.83,2.43,15.1,14.54,-2934.46,1.0
KIOCL.NS,7,63.12,2.01,394.53,384.91,-3516.57,1.0
GULFPETRO.NS,7,88.93,2.29,36.93,34.55,-1289.2,1.0
GKENERGY.NS,7,78.45,1.74,128.05,124.26,-3911.59,1.0
SOTL.NS,7,87.3,1.71,449.89,410.02,-65.57,1.0
JETFREIGHT.NS,7,64.5,3.48,21.38,20.24,0.0,1.0
PANACEABIO.NS,7,83.71,10.74,428.37,394.48,0.0,1.0
CPPLUS.NS,7,90.01,1.87,2840.4,2451.65,-222.18,1.0
TVSSCS.NS,7,72.82,5.49,118.25,114.9,-944.67,1.0
SPECTRUM.NS,7,86.27,1.83,1467.88,1381.64,0.0,1.0
SPENCERS.NS,7,62.22,1.51,36.32,35.48,-4268.18,1.0
BHAGERIA.NS,7,90.17,12.5,163.61,160.9,-1370.69,1.0
UDS.NS,7,68.07,6.31,175.84,167.91,-3979.93,1.0
BIOFILCHEM.NS,7,67.9,1.99,34.1,33.43,-3460.69,1.0
TTML.NS,7,90.0,8.86,43.21,42.63,-3977.89,1.0
BFUTILITIE.NS,7,81.8,4.47,579.89,549.98,-2582.64,1.0
PFS.NS,7,68.13,1.78,30.66,30.46,-2910.55,1.0
ROTO.NS,7,74.77,5.3,57.94,57.92,-4044.66,1.0
UNIMECH.NS,7,74.52,3.5,990.24,954.63,-2117.79,1.0
BIRLACABLE.NS,7,83.65,2.3,189.6,168.18,-368.3,1.0
PASUPTAC.NS,7,84.87,3.2,61.11,55.44,0.0,1.0
APCOTEXIND.NS,7,71.93,1.56,489.58,449.2,-33.44,1.0
KIMS.NS,7,67.61,2.96,750.27,719.76,-100.72,1.0
JASH.NS,7,73.41,1.55,411.72,404.27,-2843.52,1.0
EQUITASBNK.NS,7,70.14,3.82,69.89,67.34,0.0,1.0
EVEREADY.NS,7,61.17,3.36,322.57,318.91,-2888.58,1.0
AURUM.NS,7,71.64,1.92,180.01,178.06,-1473.23,1.0
CHEMCON.NS,7,80.27,12.27,180.51,169.83,-2377.53,1.0
KSHITIJPOL.NS,7,94.78,3.07,4.6,3.82,0.0,1.0
LANCORHOL.NS,7,63.14,2.02,24.34,24.17,-2357.08,1.0
MBLINFRA.NS,7,78.14,3.95,26.99,26.27,-3641.74,1.0
PRIZOR.NS,7,61.0,1.74,669.82,589.52,-262.3,1.0
SABAR.NS,7,65.52,2.22,5.32,5.27,-4120.88,1.0
GREAVESCOT.NS,7,85.88,2.2,176.79,168.17,-1733.62,1.0
ADANIENT.NS,7,77.09,1.6,2802.52,2551.43,0.0,1.0
PRIMESECU.NS,7,72.24,3.62,281.68,281.1,-877.44,1.0
ZEELEARN.NS,7,80.29,3.42,6.56,6.04,-2609.92,1.0
VIMTALABS.NS,7,87.21,4.14,478.4,470.36,-3835.5,1.0
WINSOME.NS,7,92.31,1.76,2.3,2.08,-155.04,1.0
MDL.NS,7,70.18,2.51,52.89,52.43,-4192.47,1.0
ACMESOLAR.NS,7,90.42,1.93,310.97,291.88,0.0,1.0
ACCORD.NS,7,100.0,1.54,53.52,45.32,0.0,1.0
ZEEL.NS,7,81.09,5.04,92.67,88.88,-2551.0,1.0
SUTLEJTEX.NS,7,62.94,3.24,36.21,35.21,-2164.95,1.0
MUNJALAU.NS,7,60.68,2.95,89.29,85.45,-1418.23,1.0
MSTCLTD.NS,7,83.7,3.05,452.7,443.23,-674.02,1.0
BAFNAPH.NS,7,83.75,2.58,142.23,134.59,-836.62,1.0
BAJAJHIND.NS,7,81.13,1.75,18.76,18.43,-3199.45,1.0
QMSMEDI.NS,7,69.29,5.1,85.39,84.88,-1870.37,1.0
ZEEMEDIA.NS,7,70.43,5.98,8.2,8.16,-4554.08,1.0
SANGINITA.NS,7,100.0,4.15,27.42,23.72,0.0,1.0
QUESS.NS,7,80.92,14.84,211.43,204.05,-1913.12,1.0
PRIMO.NS,7,67.67,8.16,23.07,22.68,-1340.34,1.0
VASWANI.NS,7,76.32,2.12,56.4,56.03,-1082.95,1.0
VEEDOL.NS,7,68.77,2.57,1438.42,1427.6,-2412.41,1.0
VENUSREM.NS,7,98.29,1.84,1240.01,1073.54,0.0,1.0
STLTECH.NS,7,82.4,2.06,497.72,383.83,-499.54,1.0
HMVL.NS,7,90.33,2.22,69.24,67.32,-1223.73,1.0
HSCL.NS,7,91.86,1.91,605.03,566.3,0.0,1.0
PONNIERODE.NS,7,89.63,8.27,304.58,295.25,-205.09,1.0
RAMCOSYS.NS,7,80.88,9.81,450.38,436.79,-1563.57,1.0
SETCO.NS,7,100.0,2.73,15.01,13.56,0.0,1.0
SETL.NS,7,66.37,8.55,138.63,135.48,-2213.15,1.0
DCM.NS,7,70.77,2.85,87.98,82.25,-2158.64,1.0
MAHESHWARI.NS,7,81.06,1.95,57.68,53.05,-308.07,1.0
TIPSFILMS.NS,6,59.06,3.47,372.36,367.69,-3797.36,2.0
VILINBIO.NS,6,42.42,4.0,46.92,43.12,-617.16,2.0
ENERGYDEV.NS,6,57.89,2.59,16.71,16.65,-3819.74,2.0
NACLIND.NS,6,50.97,3.3,159.83,158.07,-4994.12,2.0
BMWVENTLTD.NS,6,57.09,3.04,60.99,60.64,-1468.52,2.0
MANINDS.NS,6,45.48,5.0,523.56,501.55,-1007.51,2.0
GULPOLY.NS,6,59.37,1.59,186.28,178.88,-4.42,2.0
MSPL.NS,6,58.85,1.63,40.88,38.28,-352.91,2.0
RAYMONDREL.NS,6,58.64,2.11,569.63,524.6,-3684.48,2.0
UNIHEALTH.NS,6,44.08,1.91,433.51,424.44,-1537.2,2.0
PFC.NS,6,52.81,1.51,432.42,431.89,-1001.25,2.0
SUNFLAG.NS,6,56.14,3.44,371.43,333.13,-1029.22,2.0
TCL.NS,6,57.17,2.18,96.78,95.39,-2759.52,2.0
MAWANASUG.NS,6,49.17,1.64,101.29,99.56,-1424.14,2.0
VIAZ.NS,6,51.61,2.73,63.12,63.02,-3406.65,2.0
CPCAP.NS,6,50.97,6.27,94.5,94.13,-4646.08,2.0
HARSHA.NS,6,55.99,2.01,398.75,390.38,-764.67,2.0
SADHAV.NS,6,57.27,3.04,113.33,111.53,-918.29,2.0
DAMODARIND.NS,5,71.86,0.62,30.46,29.05,-2038.46,3.0
PRECOT.NS,5,64.3,0.29,729.03,645.18,-1028.52,3.0
REDINGTON.NS,5,71.07,0.47,228.84,227.72,-2585.32,3.0
RAMCOIND.NS,5,71.26,0.63,290.81,283.84,-2167.13,3.0
PTCIL.NS,5,68.96,0.95,17325.51,16916.12,-432.92,3.0
QFIL.NS,5,100.0,6.67,41.99,43.05,-4494.92,3.0
QUADFUTURE.NS,5,77.49,1.01,308.5,305.23,-3447.24,3.0
MAYURUNIQ.NS,5,73.77,0.13,699.07,635.82,-514.2,3.0
CYIENTDLM.NS,5,64.9,0.37,428.94,398.1,-796.84,3.0
RATEGAIN.NS,5,78.93,0.2,710.41,648.07,-186.58,3.0
CUMMINSIND.NS,5,67.2,0.52,5575.36,5287.19,-408.96,3.0
