Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%,YF_SYMBOL,RISK_SCORE,FINAL_WEIGHT,FINAL_WEIGHT_%,Sector,Industry,VOLATILITY,CONVICTION_NORM,RETURN_NORM,VOL_NORM,OPTIMISER_SCORE,OPT_WEIGHT,OPT_WEIGHT_%,LAST_PRICE,ALLOCATED_CAPITAL,QUANTITY,INVESTED_AMOUNT,ACTUAL_WEIGHT,ACTUAL_WEIGHT_%,ACTION
OFSS,92.01,7.0,11.56,HIGH,100,16,98.68,0.0822025073930609,8.22,OFSS.NS,21129.52339874256,0.1212337158552034,12.12,Technology,Software - Infrastructure,0.3523718476510024,1.0,0.6605714285714286,0.5679474070051874,0.7506390900275339,0.0856041683407673,8.56,10098.0,118809.04153809934,11,111078.0,0.11454656979129556,11.45,BUY
STLTECH,93.95,7.0,17.5,HIGH,100,1,116.5,0.0970469407305593,9.7,STLTECH.NS,19649.34974624393,0.1127410040880248,11.27,Technology,Communication Equipment,0.5857127665102494,1.0,1.0,0.9440426333910747,0.8111914733217851,0.0925096659118645,9.25,651.5999755859375,110486.1840062643,169,110120.39587402344,0.11355906310366519,11.36,BUY
VENUSREM,93.1,7.0,12.71,HIGH,100,6,102.13,0.0850764296722062,8.51,VENUSREM.NS,16602.239321469053,0.0952577645257652,9.53,Healthcare,Drug Manufacturers - Specialty & Generic,0.4989150463147924,1.0,0.7262857142857143,0.8041434318867705,0.7296855993369317,0.0832145963503994,8.32,1555.800048828125,93352.6092352499,60,93348.0029296875,0.09626292814475874,9.63,BUY
RUBICON,91.82,7.0,11.78,HIGH,100,18,99.34,0.0827523012203757,8.28,RUBICON.NS,16734.094455610928,0.0960143025491244,9.6,Healthcare,Drug Manufacturers - General,0.4524581368943624,1.0,0.6731428571428572,0.7292649152893251,0.7234041597992779,0.082498250219819,8.25,1295.0,94094.01649814191,72,93240.0,0.09615155266875887,9.62,BUY
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8,97.12,0.0809029947103169,8.09,GAYAPROJ.NS,16349.470781077867,0.0938074682353745,9.38,Industrials,Engineering & Construction,0.4391631323204603,1.0,0.6308571428571428,0.7078362358298117,0.7107756099768948,0.081058068754109,8.11,20.899999618530273,91931.31887066702,4398,91918.19832229614,0.09478847583873531,9.48,BUY
HFCL,93.92,5.0,15.04,HIGH,100,2,105.12,0.0875671623141322,8.76,HFCL.NS,14703.795347513871,0.0843651659109189,8.44,Technology,Communication Equipment,0.4803374797510481,1.0,0.8594285714285714,0.7742004020202221,0.7889313481673842,0.0899710830878152,9.0,197.0800018310547,82677.86259270052,419,82576.52076721191,0.08515509100977517,8.52,BUY
DEEPINDS,92.3,7.0,11.0,HIGH,100,13,97.0,0.0808030321962597,8.08,DEEPINDS.NS,14476.5734646695,0.083061447286462,8.31,Energy,Oil & Gas E&P,0.4909379983699239,1.0,0.6285714285714286,0.791286151357563,0.6931713411570589,0.0790504477660866,7.91,525.25,81400.21834073277,154,80888.5,0.0834143593741624,8.34,BUY
SIGMAADV,91.78,5.0,15.32,HIGH,100,19,105.96,0.0882668999125328,8.83,SIGMAADV.NS,13006.570759732049,0.0746270928112743,7.46,Industrials,Aerospace & Defense,0.5405227965057282,1.0,0.8754285714285714,0.8712061498359817,0.7759301986042323,0.0884884097090724,8.85,458.70001220703125,73134.55095504882,159,72933.30194091797,0.07521074885112257,7.52,BUY
IOLCP,92.11,5.0,12.19,HIGH,100,15,96.57,0.0804448331875546,8.04,IOLCP.NS,12020.445517466102,0.0689690557054478,6.9,Healthcare,Drug Manufacturers - Specialty & Generic,0.4670462914076289,1.0,0.6965714285714285,0.7527778735010342,0.7280729967283646,0.0830306923850924,8.3,136.16000366210938,67589.67459133884,496,67535.36181640625,0.06964425030774209,6.96,BUY
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20,93.99,0.0782956391353242,7.83,ADANIPOWER.NS,11892.117751647476,0.0682327564712439,6.82,Utilities,Utilities - Independent Power Producers,0.4364464856800603,1.0,0.6474285714285715,0.7034575874631787,0.7182799110787929,0.0819138721133281,8.19,230.02999877929688,66868.10134181901,290,66708.6996459961,0.06879177442595892,6.88,BUY
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14,92.28,0.0768711733100087,7.69,SOUTHWEST.NS,8896.168421083787,0.0510430611334039,5.1,Energy,Oil & Gas Equipment & Services,0.5576443436303145,1.0,0.6148571428571429,0.8988023904498371,0.6661823790528897,0.0759725802715718,7.6,264.25,50022.19991073582,189,49943.25,0.05150279957983689,5.15,BUY
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17,95.76,0.0797700862176683,7.98,ANTELOPUS.NS,8827.168741275775,0.0506471654277562,5.06,Energy,Oil & Gas E&P,0.6204304189169121,1.0,0.6811428571428572,1.0,0.6724571428571429,0.0766881650900738,7.67,915.3499755859375,49634.22211920108,54,49428.898681640625,0.050972386904188274,5.1,BUY
