Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOLATILITY,VOL_ADJ_RS,Momentum,Sharpe,Institutional Score
STLTECH.NS,29.77,50.93,131.55,295.66,-101.78,0.6937,189.64,230.01600000000002,426.21,99.98
SIGMAADV.NS,17.44,26.02,122.74,182.49,-105.3,0.5787,212.1,158.59,315.34,99.94
HFCL.NS,15.75,25.82,100.03,188.24,-84.28,0.5293,188.99,152.95600000000002,355.64,99.88
MODISONLTD.NS,54.34,90.2,122.04,146.75,-67.7,0.6372,191.53,136.86599999999999,230.3,99.79
BBOX.NS,9.51,34.42,100.15,109.94,-90.64,0.4626,216.49,106.024,237.66,99.78
OMAXAUTO.NS,12.92,10.92,124.98,154.14,-112.06,0.7206,173.44,142.476,213.91,99.77
DEEDEV.NS,22.48,35.49,84.49,139.78,-62.01,0.631,133.9,117.66399999999999,221.52,99.62
NINSYS.NS,15.45,35.22,65.75,143.34,-50.3,0.5608,117.24,112.304,255.6,99.52
HITECHCORP.NS,72.66,106.59,102.25,113.77,-29.59,0.664,153.99,109.162,171.34,99.38
ACCORD.NS,11.78,38.17,66.25,115.5,-54.47,0.4904,135.09,95.8,235.52,99.35
SASKEN.NS,23.3,43.86,78.69,117.15,-55.39,0.6285,125.2,101.766,186.4,99.32
VMARCIND.NS,27.02,42.54,73.66,125.17,-46.64,0.6566,112.18,104.566,190.63,99.3
VIDYAWIRES.NS,20.82,18.77,64.45,121.58,-43.63,0.5194,124.09,98.728,234.08,99.3
IDEAFORGE.NS,5.77,7.39,83.13,118.61,-77.36,0.6849,121.38,104.418,173.18,99.24
BLISSGVS.NS,40.6,62.58,75.22,120.59,-34.62,0.6792,110.75,102.44200000000001,177.55,99.2
UCL.NS,1.44,19.15,56.86,126.74,-55.42,0.517,109.98,98.788,245.15,99.2
BLUECHIP.NS,40.6,62.58,75.22,120.59,-34.62,0.6792,110.75,102.44200000000001,177.55,99.2
KSHITIJPOL.NS,30.27,21.7,90.38,107.0,-60.11,0.6485,139.37,100.352,165.0,99.16
ONELIFECAP.NS,5.12,46.16,84.66,85.19,-79.54,0.4971,170.31,84.978,171.37,99.04
FCL.NS,12.78,53.98,92.19,95.34,-79.41,0.5985,154.04,94.08,159.3,99.01
BHAGYANGR.NS,18.48,6.94,57.53,130.3,-39.05,0.6576,87.48,101.19200000000001,198.14,98.88
VINDHYATEL.NS,20.84,17.07,58.52,114.17,-37.68,0.6079,96.27,91.91,187.81,98.78
ANLON.NS,13.52,20.19,65.58,91.27,-52.06,0.5176,126.7,80.994,176.33,98.78
CPPLUS.NS,29.4,30.19,48.03,105.17,-18.63,0.4319,111.21,82.314,243.51,98.75
BALAMINES.NS,2.53,38.0,75.19,89.77,-72.66,0.621,121.08,83.93799999999999,144.56,98.6
CEMPRO.NS,20.77,16.25,66.13,93.27,-45.36,0.5997,110.27,82.41399999999999,155.53,98.57
ATLANTAELE.NS,19.05,16.3,49.42,126.97,-30.37,0.6002,82.34,95.95,211.55,98.56
SOFTTECH.NS,19.1,9.07,64.32,78.94,-45.22,0.5105,125.99,73.092,154.63,98.41
WINSOME.NS,11.96,22.16,49.32,57.09,-37.36,0.2424,203.47,53.982,235.52,98.25
IOLCP.NS,7.08,20.97,47.65,90.43,-40.57,0.4964,95.99,73.318,182.17,98.21
SHYAMTEL.NS,-6.69,-24.3,77.11,92.45,-83.8,0.7466,103.28,86.314,123.83,98.15
KSHINTL.NS,19.51,28.99,42.75,132.71,-23.24,0.5829,73.34,96.726,227.67,98.12
VENUSREM.NS,27.9,48.0,41.62,126.43,-13.72,0.5422,76.76,92.506,233.18,98.12
WHEELS.NS,-3.75,17.44,49.32,82.67,-53.07,0.4862,101.44,69.33,170.03,98.05
MTNL.NS,-8.31,10.81,52.08,100.64,-60.39,0.6299,82.68,81.21600000000001,159.77,98.04
MTARTECH.NS,-8.31,10.81,52.08,100.64,-60.39,0.6299,82.68,81.21600000000001,159.77,98.04
MUFIN.NS,-8.31,10.81,52.08,100.64,-60.39,0.6299,82.68,81.21600000000001,159.77,98.04
CALSOFT.NS,9.13,-12.71,83.09,85.53,-73.96,0.7268,114.32,84.554,117.68,98.03
GVPIL.NS,9.61,30.55,70.73,85.24,-61.12,0.6777,104.37,79.436,125.78,98.03
KERNEX.NS,30.4,25.65,64.95,85.54,-34.55,0.6589,98.57,77.304,129.82,98.0
E2E.NS,20.28,22.39,60.81,81.4,-40.53,0.6181,98.38,73.164,131.69,97.93
APOLLO.NS,5.46,34.29,54.21,89.68,-48.75,0.637,85.1,75.492,140.78,97.85
SANGINITA.NS,13.61,17.52,38.86,125.85,-25.25,0.5587,69.55,91.05399999999999,225.26,97.74
MWL.NS,7.47,12.83,47.53,56.1,-40.06,0.3291,144.42,52.672,170.46,97.64
DSSL.NS,-14.93,11.9,54.55,81.53,-69.48,0.6355,85.84,70.738,128.29,97.64
PARACABLES.NS,-2.39,5.23,60.0,91.83,-62.39,0.728,82.42,79.098,126.14,97.63
SUVEN.NS,4.09,28.35,45.81,102.36,-41.72,0.6116,74.9,79.74,167.36,97.62
RUBICON.NS,35.0,32.82,43.75,71.2,-8.75,0.4228,103.48,60.22,168.4,97.57
INSPIRISYS.NS,9.5,40.56,57.35,58.08,-47.85,0.4504,127.33,57.788,128.95,97.57
PRIZOR.NS,7.4,0.95,45.43,115.82,-38.03,0.6883,66.0,87.66399999999999,168.27,97.55
OFSS.NS,9.15,13.6,38.13,64.66,-28.98,0.3524,108.2,54.048,183.48,97.37
EXICOM.NS,7.44,30.97,48.6,84.18,-41.16,0.631,77.02,69.94800000000001,133.41,97.32
UFBL.NS,-1.19,32.53,54.69,119.44,-55.88,0.9165,59.67,93.54,130.32,97.29
ABSMARINE.NS,-3.42,19.49,45.57,85.22,-48.99,0.598,76.2,69.36,142.51,97.28
CADSYS.NS,1.44,2.59,39.0,62.41,-37.56,0.3621,107.71,53.046,172.36,97.22
SBCL.NS,8.16,24.71,46.23,76.2,-38.07,0.5523,83.7,64.212,137.97,97.22
SHAILY.NS,11.87,12.96,65.45,65.35,-53.58,0.6157,106.3,65.39,106.14,97.11
SHADOWFAX.NS,-1.24,18.75,42.42,70.71,-43.66,0.5041,84.15,59.39399999999999,140.27,96.99
SPORTKING.NS,16.34,27.64,39.59,75.09,-23.25,0.5098,77.66,60.89,147.29,96.92
ALKALI.NS,41.5,50.14,53.99,64.19,-12.49,0.5723,94.34,60.11,112.16,96.86
CONFIPET.NS,17.41,25.13,38.28,137.2,-20.87,0.7739,49.46,97.63199999999999,177.28,96.8
WELCORP.NS,7.84,4.32,31.65,77.65,-23.81,0.3905,81.05,59.25,198.85,96.8
IBULLSLTD.NS,18.75,12.66,36.63,137.65,-17.88,0.7352,49.82,97.242,187.23,96.8
VISASTEEL.NS,10.66,11.7,67.99,51.75,-57.33,0.535,127.08,58.245999999999995,96.73,96.76
SFL.NS,13.58,14.55,33.0,86.1,-19.42,0.4861,67.89,64.86,177.12,96.64
SATIN.NS,8.48,8.29,35.46,58.85,-26.98,0.3421,103.65,49.494,172.03,96.64
SETCO.NS,13.58,14.55,33.0,86.1,-19.42,0.4861,67.89,64.86,177.12,96.64
BHEL.NS,-0.23,3.33,33.86,65.48,-34.09,0.4074,83.11,52.83200000000001,160.73,96.55
OLIL.NS,-1.39,1.35,46.27,62.04,-47.66,0.5365,86.24,55.732,115.64,96.51
NIBE.NS,11.31,51.8,50.47,62.85,-39.16,0.5881,85.82,57.898,106.87,96.48
SAKAR.NS,5.06,57.46,43.64,78.26,-38.58,0.6324,69.01,64.412,123.75,96.45
MODINATUR.NS,8.01,33.32,39.0,81.76,-30.99,0.6102,63.91,64.656,133.99,96.4
WELINV.NS,1.81,12.11,45.9,56.51,-44.09,0.4867,94.31,52.266,116.11,96.37
WOCKPHARMA.NS,23.87,23.66,47.32,56.05,-23.45,0.5085,93.06,52.55799999999999,110.23,96.3
UNIVCABLES.NS,0.72,5.15,41.47,77.07,-40.75,0.6234,66.52,62.83,123.63,96.28
CYIENTDLM.NS,6.35,8.74,38.29,56.07,-31.94,0.4156,92.13,48.958,134.91,96.26
STEELXIND.NS,21.63,20.66,42.5,59.41,-20.87,0.5034,84.43,52.645999999999994,118.02,96.21
PRECOT.NS,4.43,22.01,43.28,82.91,-38.85,0.6896,62.76,67.05799999999999,120.23,96.2
PRECWIRE.NS,4.43,22.01,43.28,82.91,-38.85,0.6896,62.76,67.05799999999999,120.23,96.2
BLSE.NS,8.87,14.58,33.35,64.6,-24.48,0.4303,77.5,52.1,150.13,96.17
INDOTECH.NS,11.29,-1.47,49.02,79.93,-37.73,0.7534,65.07,67.566,106.09,96.15
UTLSOLAR.NS,16.03,16.8,28.88,83.64,-12.85,0.4573,63.15,61.736,182.9,96.11
RPEL.NS,8.7,31.13,47.28,53.35,-38.58,0.5026,94.07,50.922,106.15,96.03
AEROFLEX.NS,1.4,4.46,36.81,87.38,-35.41,0.67,54.94,67.152,130.42,95.98
SKIPPER.NS,19.28,25.72,33.99,63.86,-14.71,0.4616,73.64,51.912,138.34,95.96
INDOBORAX.NS,7.02,32.79,42.33,53.11,-35.31,0.4524,93.57,48.798,117.4,95.96
BANKA.NS,13.66,9.78,31.87,72.81,-18.21,0.4847,65.75,56.434,150.22,95.95
HOACFOODS.NS,8.74,16.02,31.07,67.86,-22.33,0.445,69.82,53.144000000000005,152.49,95.93
SUNFLAG.NS,-3.09,-2.72,39.75,60.3,-42.84,0.5209,76.31,52.08,115.76,95.78
STYLAMIND.NS,5.82,17.26,36.4,41.97,-30.58,0.2924,124.49,39.742,143.54,95.77
SHILPAMED.NS,2.41,13.95,29.47,63.24,-27.06,0.3904,75.49,49.732,161.99,95.72
SKYGOLD.NS,16.75,10.93,35.36,63.96,-18.61,0.51,69.33,52.519999999999996,125.41,95.69
DBSTOCKBRO.NS,13.65,27.25,33.42,44.42,-19.77,0.2992,111.7,40.02,148.46,95.65
SANSTAR.NS,16.28,20.58,39.92,47.23,-23.64,0.4029,99.08,44.306,117.23,95.64
ZIMLAB.NS,7.28,-2.85,36.84,60.93,-29.56,0.506,72.81,51.294000000000004,120.42,95.63
GRCL.NS,-1.79,2.72,52.81,45.3,-54.6,0.4869,108.46,48.304,93.04,95.58
ANTELOPUS.NS,20.43,27.23,44.74,79.06,-24.31,0.7798,57.37,65.332,101.38,95.54
SPARC.NS,-11.41,21.43,41.32,70.17,-52.73,0.6572,62.87,58.629999999999995,106.77,95.53
PARKHOSPS.NS,2.77,9.41,34.27,55.64,-31.5,0.4458,76.87,47.092,124.81,95.42
RATEGAIN.NS,8.06,18.13,36.19,55.24,-28.13,0.4804,75.33,47.62,114.99,95.2
TRITURBINE.NS,0.4,18.42,36.74,48.96,-36.34,0.4302,85.4,44.072,113.81,95.19
MARKSANS.NS,11.18,19.39,38.47,47.52,-27.29,0.4434,86.76,43.9,107.17,95.16
BOROSCI.NS,13.23,30.76,33.53,57.96,-20.3,0.4787,70.04,48.187999999999995,121.08,95.16
ARVIND.NS,5.61,14.49,33.46,51.75,-27.85,0.4271,78.34,44.434,121.17,95.15
PASUPTAC.NS,29.94,37.02,55.98,46.92,-26.04,0.569,98.38,50.544,82.46,95.09
ADANIGREEN.NS,3.23,4.03,30.95,61.1,-27.72,0.4771,64.87,49.04,128.07,95.06
