Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
TATSILV,25.52,78386054,2000412133.96,100.0,1.0,HIGH
BIRET,319.75,618265,197690409.61,99.70238095238095,2.0,MEDIUM
EMBASSY,437.49,432047,189016653.43,99.40476190476191,3.0,MEDIUM
INDIGRID,170.97,839059,143453986.64,99.10714285714286,4.0,MEDIUM
KPL,2298.8,62116,142794217.81,98.80952380952381,5.0,MEDIUM
MINDSPACE,462.6,283916,131339682.11,98.51190476190477,6.0,MEDIUM
ORIANA,1685.4,68887,116102994.18,98.21428571428571,7.0,MEDIUM
VMARCIND,1404.85,82050,115267940.5,97.91666666666666,8.0,MEDIUM
SEIL,185.38,505357,93683212.89,97.61904761904762,9.0,LOW
AIMTRON,1189.5,61670,73356465.0,97.32142857142857,10.0,LOW
ARTEMISMED,270.9,233795,63335226.61,97.02380952380952,11.0,LOW
TAC,370.45,164770,61039048.51,96.72619047619048,12.0,LOW
NXST,154.68,393342,60842137.68,96.42857142857143,13.0,LOW
IRBINVIT,60.47,981097,59326991.21,96.13095238095238,14.0,LOW
ELITECON,30.92,1605208,49633059.31,95.83333333333334,15.0,ILLIQUID
ABSMARINE,286.9,128550,36880994.22,95.53571428571429,16.0,ILLIQUID
CHEMICAL,29.09,1087077,31623084.64,95.23809523809523,17.0,ILLIQUID
CELLECOR,38.85,802650,31182951.28,94.94047619047619,18.0,ILLIQUID
DPEL,503.25,56825,28597181.25,94.64285714285714,19.0,ILLIQUID
WPIL,437.0,64937,28377665.65,94.34523809523809,20.0,ILLIQUID
PARIN,686.05,39350,26996067.02,94.04761904761905,21.0,ILLIQUID
SIKA,897.8,28437,25530783.14,93.75,22.0,ILLIQUID
SHINDL,155.14,146173,22677387.73,93.45238095238095,23.0,ILLIQUID
GPECO,440.3,48570,21385370.41,93.15476190476191,24.0,ILLIQUID
GGBL,333.0,59445,19795185.0,92.85714285714286,25.0,ILLIQUID
SWARAJ,222.05,79875,17736243.99,92.55952380952381,26.0,ILLIQUID
WELSPLSOL,42.22,379125,16006657.96,92.26190476190477,27.0,ILLIQUID
PRAVEG,241.6,59326,14333367.32,91.96428571428571,28.0,ILLIQUID
