Symbol,MarketCap
RELIANCE,18400101269504
HDFCBANK,11693433290752
BHARTIARTL,11603644776448
ICICIBANK,8869922209792
SBIN,8777394290688
TCS,8420736368640
BAJFINANCE,5739721523200
LT,5379825598464
HINDUNILVR,5190952419328
LICI,5063477035008
INFY,4830912839680
SUNPHARMA,4511469404160
ADANIPOWER,4247261282304
MARUTI,4088176574464
ADANIPORTS,4083997736960
AXISBANK,3886062239744
ITC,3853437894656
KOTAKBANK,3811485679616
NTPC,3805456891904
ONGC,3752697266176
M&M,3749019910144
ADANIENT,3708130164736
TITAN,3642562445312
ULTRACEMCO,3356181397504
HCLTECH,3165072392192
JSWSTEEL,3131820474368
BEL,3021131481088
BAJAJ-AUTO,2921880616960
HAL,2893455032320
BAJAJFINSV,2832556621824
COALINDIA,2826843717632
POWERGRID,2789250957312
NESTLEIND,2738399215616
DMART,2702697299968
HINDZINC,2663852277760
TATASTEEL,2581797273600
ASIANPAINT,2491133198336
HINDALCO,2427344125952
ADANIGREEN,2245430607872
ETERNAL,2237241491456
SHRIRAMFIN,2172721299456
WIPRO,2066824560640
GRASIM,2014919262208
IOC,1949295706112
EICHERMOT,1878915153920
SBILIFE,1870112358400
DIVISLAB,1829874958336
VBL,1738500210688
BSE,1713296244736
INDIGO,1648894803968
SOLARINDS,1647823945728
ADANIENSOL,1617046536192
TVSMOTOR,1597663084544
POWERINDIA,1583433252864
ICICIAMC,1550686617600
JIOFIN,1549559267328
TORNTPHARM,1499042545664
CUMMINSIND,1496741445632
PIDILITIND,1481473785856
IDEA,1471298404352
TRENT,1457462968320
HYUNDAI,1452335955968
DLF,1443849175040
BHEL,1422074707968
PFC,1416898674688
ABB,1399654711296
TMCV,1398181330944
MOTHERSON,1391912681472
POLYCAB,1384914223104
BANKBARODA,1362912477184
CGPOWER,1343832326144
TMPV,1330279874560
MUTHOOTFIN,1328579608576
TATAPOWER,1321272868864
SIEMENS,1316363829248
HDFCLIFE,1305369903104
VEDL,1303227662336
CHOLAFIN,1294595522560
BRITANNIA,1287320502272
TECHM,1274548977664
IRFC,1269343977472
TATACAP,1267537805312
BPCL,1255071809536
JINDALSTEL,1244489711616
ENRIN,1232034594816
LTM,1228238880768
UNIONBANK,1213743235072
GVT&D,1198144094208
TATACONSUM,1196087574528
PNB,1174808690688
