symbol,company_name,sector,industry,Symbol
20MICRONS.NS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,20MICRONS
21STCENMGM.NS,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,21STCENMGM
360ONE.NS,360 One Wam Limited,Financial Services,Asset Management,360ONE
3IINFOLTD.NS,3i Infotech Limited,Technology,Information Technology Services,3IINFOLTD
3MINDIA.NS,3M India Limited,Industrials,Conglomerates,3MINDIA
3PLAND.NS,3P Land Holdings Ltd,,,3PLAND
5PAISA.NS,5paisa Capital Limited,Financial Services,Capital Markets,5PAISA
63MOONS.NS,63 moons technologies limited,Technology,Software - Application,63MOONS
A2ZINFRA.NS,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,A2ZINFRA
AAATECH.NS,AAA Technologies Limited,Technology,Information Technology Services,AAATECH
AADHARHFC.NS,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,AADHARHFC
AAKASH.NS,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,AAKASH
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,AAREYDRUGS
AARNAV.NS,Aarnav Fashions Limited,,,AARNAV
AARON.NS,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,AARON
AARTECH.NS,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,AARTECH
AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,AARTIDRUGS
AARTIIND.NS,Aarti Industries Limited,Basic Materials,Specialty Chemicals,AARTIIND
AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,AARTIPHARM
AARTISURF.NS,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,AARTISURF
AARVI.NS,Aarvi Encon Limited,Industrials,Staffing & Employment Services,AARVI
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,AAVAS
ABAN.NS,Aban Offshore Limited,Energy,Oil & Gas Drilling,ABAN
ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery,ABB
ABBOTINDIA.NS,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,ABBOTINDIA
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,ABCAPITAL
ABCOTS.NS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,Textile Manufacturing,ABCOTS
ABDL.NS,ALLIED BLEND N DISTILS L,Consumer Defensive,Beverages - Wineries & Distilleries,ABDL
