Symbol,Weight,Expected_Return,Volatility
SHILPAMED.NS,0.0718,2.0119,0.433
ADANIGREEN.NS,0.0656,1.8723,0.4742
BBOX.NS,0.0613,2.3561,0.5072
HFCL.NS,0.0564,3.2656,0.5511
IOLCP.NS,0.0561,2.1121,0.5546
VENUSREM.NS,0.0554,1.5764,0.5615
SIGMAADV.NS,0.0536,2.8234,0.5797
ATGL.NS,0.0492,1.5564,0.6323
BLISSGVS.NS,0.0492,2.6742,0.6317
NINSYS.NS,0.0485,2.3735,0.641
DSSL.NS,0.0484,2.379,0.6423
SASKEN.NS,0.0462,2.0367,0.673
E2E.NS,0.046,2.3384,0.6762
SUVEN.NS,0.0459,2.4912,0.6768
STLTECH.NS,0.0444,5.4978,0.7006
MODISONLTD.NS,0.0434,2.024,0.7168
SPARC.NS,0.0428,2.0781,0.726
IDEAFORGE.NS,0.0426,2.4302,0.7303
PARACABLES.NS,0.0383,2.5977,0.8109
CONFIPET.NS,0.0351,2.5857,0.8844
