Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%,YF_SYMBOL,VOLATILITY,RISK_SCORE,FINAL_WEIGHT,FINAL_WEIGHT_%,CONTRIBUTION,CONTRIBUTION_%,ALPHA_CONTRIBUTION,RISK_ADJ_CONTRIBUTION,ATTRIBUTION_RANK
STLTECH,93.95,7.0,17.5,HIGH,100,1,116.5,0.0586231362623096,5.86,STLTECH.NS,0.5878511415402486,2976.944121286838,0.0592710269462821,5.93,1.0372429715599367,8.1,0.2783746133387346,1.7644653523036824,1
HFCL,93.92,5.0,15.04,HIGH,100,2,105.12,0.052896687415399,5.29,HFCL.NS,0.4994972059004485,3011.02785407723,0.0599496348617628,5.99,0.9016425083209125,7.04,0.1340856879415723,1.8051002041052717,2
SIGMAADV,91.78,5.0,15.32,HIGH,100,19,105.96,0.0533193778399513,5.33,SIGMAADV.NS,0.5403112304083539,2835.4028452122902,0.0564529368356087,5.65,0.8648589923215253,6.75,0.14207165927885307,1.600668177242746,3
NINSYS,93.85,5.0,13.54,HIGH,100,3,100.62,0.0506322744267261,5.06,NINSYS.NS,0.4514214322754525,2999.414523087605,0.0597184131706669,5.97,0.8085873143308298,6.32,0.043990908746834784,1.791202757598444,4
BBOX,93.55,5.0,13.71,HIGH,100,4,101.13,0.0508889078987757,5.09,BBOX.NS,0.4930952284451321,2780.3959984020703,0.0553577492315803,5.54,0.7589547419649659,5.93,0.05018949124198225,1.5391646444403115,5
OFSS,92.01,7.0,11.56,HIGH,100,16,98.68,0.0496560608271649,4.97,OFSS.NS,0.3527977814548403,3276.6645958854283,0.0652384685919809,6.52,0.7541566969232992,5.89,-0.08111497127524651,2.137645803251273,6
SASKEN,93.5,5.0,13.36,HIGH,100,5,100.08,0.0503605448680853,5.04,SASKEN.NS,0.4808810300043944,2778.233942785789,0.0553147026537908,5.53,0.739004427454645,5.77,0.030790317609374923,1.5367718444786473,7
VENUSREM,93.1,7.0,12.71,HIGH,100,6,102.13,0.0513921107851474,5.14,VENUSREM.NS,0.4986026814236203,2549.123876291671,0.0507531158817262,5.08,0.6450721028567401,5.04,-0.004738364552276418,1.2937597949030626,8
IOLCP,92.11,5.0,12.19,HIGH,100,15,96.57,0.0485943027369204,4.86,IOLCP.NS,0.4687867897323095,2600.329247110575,0.0517726160100289,5.18,0.6311081891622523,4.93,-0.031755306487232446,1.3462584761030338,9
RUBICON,91.82,7.0,11.78,HIGH,100,18,99.34,0.0499881747321702,5.0,RUBICON.NS,0.4536432486918576,2596.754174997477,0.0517014362408034,5.17,0.6090429189166641,4.76,-0.05290923644746214,1.342559204116721,10
BLISSGVS,92.86,5.0,13.32,HIGH,100,9,99.96,0.0503001605217207,5.03,BLISSGVS.NS,0.5819758748703079,2288.75466753125,0.0455691588574506,4.56,0.606981195981242,4.74,0.023542802058764953,1.0429662503046309,11
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20,93.99,0.0472960392900813,4.73,ADANIPOWER.NS,0.4540568188568113,2495.282424901312,0.0496811313277114,4.97,0.5628872179429703,4.4,-0.07319824417330897,1.2396845385125228,12
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8,97.12,0.0488710643244249,4.89,GAYAPROJ.NS,0.4392418528742191,2513.4216896133084,0.050042284511556,5.0,0.5524668210075782,4.32,-0.08824261571840192,1.2577736328914497,13
SUVEN,92.42,5.0,12.36,HIGH,100,12,97.08,0.04885093620897,4.89,SUVEN.NS,0.579470423247477,2132.982030511911,0.0424677220181606,4.25,0.5249010441444649,4.1,-0.018828534128642077,0.9058288794151157,14
KERNEX,92.72,7.0,12.51,HIGH,100,11,101.53,0.0510901890533244,5.11,KERNEX.NS,0.5949155386478495,2102.8195075276203,0.041867185481453,4.19,0.523758490372977,4.09,-0.01228220179265339,0.8803913435567653,15
DEEPINDS,92.3,7.0,11.0,HIGH,100,13,97.0,0.0488106799780603,4.88,DEEPINDS.NS,0.4941268141397537,2226.149175723314,0.0443226820541408,4.43,0.4875495025955488,3.81,-0.07992979876479314,0.9866890212067208,16
PREMIERENE,93.05,5.0,10.71,HIGH,100,7,92.13,0.0463600819214299,4.64,PREMIERENE.NS,0.4720358598693367,2268.895418870213,0.0451737607530305,4.52,0.4838109776649567,3.78,-0.09456499156531789,1.0249453882568993,17
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17,95.76,0.0481867083989593,4.82,ANTELOPUS.NS,0.6236811728020372,1911.2329375675304,0.0380526924013002,3.81,0.4535880934234984,3.54,-0.03361426658694288,0.7272755908049062,18
EMMVEE,92.84,5.0,11.43,HIGH,100,10,94.29,0.0474470001559928,4.74,EMMVEE.NS,0.5848343593739311,1954.3995349787397,0.0389121403634047,3.89,0.44476576435371573,3.47,-0.05344041822537958,0.7604986903126558,19
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14,92.28,0.0464355623543856,4.64,SOUTHWEST.NS,0.5581695621437877,1927.729623713907,0.0383811418075603,3.84,0.4129810858493488,3.23,-0.0784265304984464,0.7398846405439832,20
