ALPHA_RANK,Symbol,Sector,Industry,Market_Cap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,ADV_RUPEES,AVG_20D_VOLUME,LIQUIDITY_SCORE,LIQUIDITY_BUCKET,Industry_MASTER,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,FACTOR_MARKET_CAP,MULTI_FACTOR_SCORE,FACTOR_RANK,CONVICTION_SCORE,DIVERSIFICATION_SCORE,DIVERSIFIED_RANK
17,ADANIGREEN,Utilities,Utilities - Renewable,2442762387456.0,1.9768,62.79,170.25,32.76,82.81,-28.55,67.35,18.74,1.0,8.0,6600242321.1,4450602.0,98.6,HIGH,Unknown,98.22,98.22,98.48,29.006666666666664,98.22,43.15,98.48,8.0,98.6,95.17766497461928,81.87,1,93.94,86.69800000000001,1
25,HSCL,Basic Materials,Specialty Chemicals,349647339520.0,1.619,50.088,166.78,36.81,58.94,-22.97,104.16,9.45,5.0,10.0,7846580025.9,11322626.0,98.86666666666667,HIGH,Unknown,96.45,97.97,97.46,24.26,96.45,38.58,75.0,10.0,98.87,70.81218274111674,78.71,7,91.7,83.90599999999999,2
8,CEMPRO,Industrials,Engineering & Construction,212518420480.0,2.4531,94.006,177.0,71.92,108.73,-67.23,117.08,7.49,7.0,10.0,1136417480.68,918614.0,86.06666666666666,HIGH,Capital Goods,99.24,98.48,99.24,37.806666666666665,98.98,38.07,53.3,10.0,86.07,60.913705583756354,77.8,11,90.56,82.904,3
36,ACUTAAS,Basic Materials,Specialty Chemicals,262560677888.0,1.4304,52.024,124.9,43.3,57.84,-36.23,93.5,9.45,5.0,8.0,1443880714.95,450228.0,88.26666666666667,HIGH,Unknown,97.46,94.67,95.94,21.636666666666667,94.67,39.09,75.0,8.0,88.27,64.72081218274111,76.76,13,89.45,81.83600000000001,4
5,CPPLUS,Industrials,Building Products & Equipment,405052129280.0,3.0473,97.332,266.91,67.29,117.36,-45.75,153.04,7.49,7.0,8.0,1571739412.6,457300.0,89.33333333333333,HIGH,Capital Goods,99.49,99.75,99.49,46.3,99.75,37.82,53.3,8.0,89.33,74.11167512690355,78.67,8,86.12,81.65,5
24,ACMESOLAR,Utilities,Utilities - Renewable,237705789440.0,1.6405,47.11999999999999,150.14,22.58,63.48,-6.68,53.41,18.74,1.0,5.0,996158923.14,2956839.0,84.73333333333333,HIGH,Unknown,95.43,97.46,97.72,26.46,97.46,47.21,98.48,5.0,84.73,62.69035532994924,78.5,9,84.29,80.816,6
13,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38023553024.0,2.161,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,9.76,4.0,7.0,708801280.35,5471679.0,80.66666666666666,HIGH,Pharma – Formulations,98.73,98.98,98.73,33.26000000000001,98.73,39.34,87.18,7.0,80.67,19.79695431472081,76.6,14,87.09,80.79599999999999,7
20,ADANIPOWER,Utilities,Utilities - Independent Power Producers,4253818028032.0,1.7093,50.582,193.7,12.53,75.95,-16.21,31.96,18.74,1.0,2.0,8953066780.93,40588751.0,99.13333333333333,HIGH,Unknown,96.7,99.24,97.97,24.090000000000003,96.19,63.2,98.48,2.0,99.13,98.47715736040608,81.53,2,78.23,80.21000000000001,8
26,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1844689633280.0,1.5943,49.804,148.2,20.41,69.4,-15.26,43.58,18.74,1.0,8.0,5749072860.2,3743861.0,98.2,HIGH,Unknown,96.19,97.21,97.21,24.85,97.21,54.31,98.48,8.0,98.2,93.4010152284264,81.45,3,78.34,80.206,9
33,ATGL,Utilities,Utilities - Regulated Gas,801101643776.0,1.4778,50.83,121.36,26.41,67.11,-27.08,47.76,18.74,1.0,5.0,8977177391.09,12324516.0,99.2,HIGH,Unknown,96.95,93.91,96.45,22.146666666666665,95.18,50.76,98.48,5.0,99.2,83.24873096446701,79.59,5,80.02,79.762,10
