ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,FUTURE_ALPHA,ML_PREDICTED_ALPHA,ML_RANK,RL_SCORE,FINAL_RL_SCORE,WEIGHT,RL_RANK,AvgVolume,TARGET_CAPITAL,SLIPPAGE_COST,BROKERAGE_COST,IMPACT_COST,LIQUIDITY_RATIO,LIQUIDITY_FLAG,TOTAL_COST,NET_CAPITAL,EXECUTION_SCORE
2,HITECHCORP,Consumer Cyclical,Packaging & Containers,5399009280,4.1157,152.342,252.24,128.03,168.55,-97.23,191.6,6.62,9,0.0,0.0,100.0,99.65,99.88,66.45,100.0,41.36,29.21,20.45,16.24,74.42,164,146.1477,146.8014,2,15234.2,7690.5007,0.07740959322804015,1,500000,774095.93,1161.14,387.05,3.0,1.55,OK,1551.2,772544.74,99.8
1,HFCL,Technology,Communication Equipment,286511267840,4.4367,147.74,340.57,94.61,183.16,-89.75,175.92,14.95,2,5.0,99.48892674616695,99.88,100.0,100.0,62.673333333333325,99.77,41.47,94.87,82.32,99.65,91.16,5,173.3155,161.5483,1,14774.0,7467.7742,0.07516771427774176,2,500000,751677.14,1127.52,375.84,2.91,1.5,OK,1506.26,750170.88,99.8
4,CONFIPET,Energy,Oil & Gas Refining & Marketing,25785229312,3.4256,128.916,232.22,49.44,181.9,-34.03,63.12,13.21,3,8.0,72.23168654173764,99.77,99.54,99.65,65.77,99.88,48.04,90.32,95.62,81.22,92.55,1,140.1956,137.3477,4,12891.6,6514.4738,0.06557216369841885,3,500000,655721.64,983.58,327.86,2.5,1.31,OK,1313.95,654407.69,99.8
3,BBOX,Technology,Software - Application,190546182144,3.6467,117.44,263.53,110.42,122.12,-106.17,238.28,14.95,2,4.0,0.0,99.65,99.77,99.77,42.12333333333334,99.31,41.24,94.87,72.12,16.24,85.24,46,141.08249999999998,140.4698,3,11744.0,5942.2349,0.05981222867250545,4,500000,598122.29,897.18,299.06,2.26,1.2,OK,1198.51,596923.78,99.8
5,IDEAFORGE,Technology,Computer Hardware,41002508288,3.0412,110.138,188.3,80.6,129.83,-67.9,116.9,14.95,2,8.0,82.62350936967631,99.54,98.96,99.54,47.51,99.54,42.17,94.87,95.62,88.25,92.36,2,122.5673,124.61,6,11013.8,5569.205,0.05605745457556064,5,500000,560574.55,840.86,280.29,2.11,1.12,OK,1123.26,559451.29,99.8
7,IBULLSLTD,Real Estate,Real Estate - Development,51903754240,2.7118,107.468,204.86,40.88,151.86,-29.51,55.15,9.07,6,8.0,62.86201022146509,99.42,99.42,99.31,54.41,99.65,49.42,65.84,95.62,74.88,90.97,6,125.2168,119.467,7,10746.8,5433.1335,0.05468781170368244,6,500000,546878.12,820.32,273.44,2.05,1.09,OK,1095.81,545782.31,99.8
10,GVPIL,Industrials,Engineering & Construction,59435806720,2.4071,98.272,159.45,83.5,108.12,-80.52,123.14,8.06,7,8.0,0.0,99.31,97.58,98.96,37.03333333333334,98.5,41.94,54.38,95.62,16.24,86.22,36,108.7457,110.6812,10,9827.2,4968.9406,0.05001542625440414,7,500000,500154.26,750.23,250.08,1.86,1.0,OK,1002.17,499152.1,99.8
6,CPPLUS,Industrials,Building Products & Equipment,412700606464,2.9808,97.332,266.91,67.29,117.36,-45.75,153.04,8.06,7,8.0,88.75638841567292,99.19,99.88,99.42,46.3,99.42,41.59,54.38,95.62,92.4,90.48,7,136.9857,131.6518,5,9733.2,4932.4259,0.049647883465695444,8,500000,496478.83,744.72,248.24,1.84,0.99,OK,994.8,495484.03,99.8
9,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,46372597760,2.4372,95.582,169.2,67.16,114.53,-63.29,99.22,10.69,4,5.0,89.26746166950596,99.08,98.16,99.08,39.46666666666667,98.96,42.63,85.71,82.32,92.74,89.82,9,111.6817,112.5575,8,9558.2,4835.3788,0.048671044544734136,9,500000,486710.45,730.07,243.36,1.8,0.97,OK,975.22,485735.22,99.8
11,CEMPRO,Industrials,Engineering & Construction,191165235200,2.3866,94.006,177.0,71.92,108.73,-67.23,117.08,8.06,7,8.0,84.8381601362862,98.96,98.5,98.85,37.806666666666665,98.73,42.05,54.38,95.62,89.75,89.97,8,113.1401,112.1964,9,9400.6,4756.3982,0.04787605700271014,10,500000,478760.57,718.14,239.38,1.77,0.96,OK,959.29,477801.28,99.8
