ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,STRATEGY_MOMENTUM,STRATEGY_QUALITY,STRATEGY_FACTOR,STRATEGY_LOW_VOL,STRATEGY_RS,META_SCORE,META_RANK,RAW_WEIGHT,FINAL_WEIGHT,EXPECTED_RETURN_5D,EXPECTED_RETURN_15D,EXPECTED_RETURN_30D,EST_HOLD_DAYS,SIGNAL
43,GAYAPROJ,Industrials,Engineering & Construction,9532058624,1.3663,45.50599999999999,199.25,6.77,71.33,3.75,18.91,8.06,7,8.0,0.0,93.55,99.31,95.16,27.28333333333333,96.31,74.42,54.38,95.62,16.24,87.57,19,93.54838709677419,99.30875576036865,97.92626728110599,74.42396313364056,96.31336405529954,93.48,1,0.041111437633634965,0.0411,4.7,10.33,17.82,33,STRONG BUY
105,GOKULAGRO,Consumer Defensive,Packaged Foods,68710944768,0.6885,34.0,112.36,3.16,54.56,-0.73,6.51,7.34,8,7.0,55.36626916524702,88.82,92.86,88.02,18.996666666666666,91.36,89.92,40.67,90.5,69.82,86.58,31,88.82488479262672,92.85714285714286,96.60138248847926,89.91935483870968,91.3594470046083,92.25,2,0.04056929765005116,0.0406,4.2,9.24,14.77,30,BUY
64,BODALCHEM,Basic Materials,Specialty Chemicals,8967217152,1.0307,43.71,128.54,6.6,68.45,-5.4,12.39,9.84,5,2.0,37.47870528109029,92.97,95.39,92.74,23.216666666666665,94.7,81.68,74.83,53.34,57.72,83.77,64,92.97235023041475,95.39170506912443,92.74193548387096,81.68202764976958,94.70046082949308,92.05,3,0.040483163260135985,0.0405,3.37,7.41,11.79,25,HOLD
4,CONFIPET,Energy,Oil & Gas Refining & Marketing,25785229312,3.4256,128.916,232.22,49.44,181.9,-34.03,63.12,13.21,3,8.0,72.23168654173764,99.77,99.54,99.65,65.77,99.88,48.04,90.32,95.62,81.22,92.55,1,99.76958525345621,99.53917050691244,100.0,48.04147465437788,99.88479262672811,92.04,4,0.04048062989572672,0.0405,4.22,9.28,13.89,30,BUY
7,IBULLSLTD,Real Estate,Real Estate - Development,51903754240,2.7118,107.468,204.86,40.88,151.86,-29.51,55.15,9.07,6,8.0,62.86201022146509,99.42,99.42,99.31,54.410000000000004,99.65,49.42,65.84,95.62,74.88,90.97,6,99.42396313364056,99.42396313364056,99.42396313364056,49.423963133640555,99.65437788018433,91.97,5,0.0404476961584062,0.0404,4.26,9.38,14.32,30,BUY
26,ADANIPOWER,Utilities,Utilities - Independent Power Producers,4485620432896,1.6136,50.582,193.7,12.53,75.95,-16.21,31.96,15.17,1,2.0,99.14821124361158,95.16,99.19,97.12,24.090000000000003,95.16,62.79,99.08,53.34,99.42,86.85,27,95.16129032258065,99.19354838709677,97.00460829493088,62.78801843317973,95.16129032258065,91.57,6,0.04027289401416657,0.0403,3.79,8.34,14.39,27,HOLD
84,JINDALSAW,Basic Materials,Steel,159768723456,0.8377,38.348,104.11,7.7,58.78,-5.51,13.64,9.84,5,5.0,78.87563884156728,90.67,91.24,90.44,20.323333333333334,92.63,80.3,74.83,82.32,85.71,87.74,17,90.66820276497695,91.24423963133641,98.15668202764977,80.29953917050692,92.62672811059907,91.49,7,0.04023742691243679,0.0402,3.75,8.24,12.6,27,HOLD
112,ANGELONE,Financial Services,Capital Markets,303780003840,0.6598,37.064,120.27,5.6,58.04,-6.23,11.6,4.13,12,7.0,94.03747870528107,90.09,94.24,87.21,19.136666666666667,91.71,82.37,5.99,90.5,95.97,85.63,43,90.09216589861751,94.23963133640552,95.16129032258065,82.37327188940093,91.70506912442397,91.35,8,0.040176626166614306,0.0402,3.79,8.34,12.08,27,HOLD
27,INDOTECH,Industrials,Electrical Equipment & Parts,28223713280,1.6058,71.03999999999999,135.66,23.46,102.76,-17.05,30.97,8.06,7,4.0,0.0,97.81,95.97,97.0,36.39,98.39,63.25,54.38,72.12,16.24,84.02,59,97.81105990783409,95.96774193548387,93.31797235023042,63.24884792626728,98.38709677419355,91.25,9,0.04013102560724744,0.0401,3.94,8.67,14.68,28,HOLD
1,HFCL,Technology,Communication Equipment,286511267840,4.4367,147.74,340.57,94.61,183.16,-89.75,175.92,14.95,2,5.0,99.48892674616695,99.88,100.0,100.0,62.673333333333325,99.77,41.47,94.87,82.32,99.65,91.16,5,99.88479262672811,100.0,99.53917050691244,41.474654377880185,99.76958525345621,91.04,10,0.04003729112410445,0.04,3.99,8.78,13.98,29,HOLD
