ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,INITIAL_WEIGHT,INITIAL_WEIGHT_%,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%,YF_SYMBOL,VOLATILITY,EXPECTED_RETURN_30D,RETURN_NORM,CONVICTION_SCORE,RISK_SCORE,FINAL_WEIGHT,FINAL_WEIGHT_%,CONVICTION_NORM,VOL_NORM,OPTIMISER_SCORE,OPT_WEIGHT,OPT_WEIGHT_%
1,HFCL,Technology,Communication Equipment,286511267840,4.4367,147.74,340.57,94.61,183.16,-89.75,175.92,14.95,2,5.0,99.48892674616695,99.88,100.0,100.0,62.673333333333325,99.77,41.47,94.87,82.32,99.65,91.16,5,0.0295742616978273,2.96,12465.2184,0.0275804219182542,2.76,HFCL.NS,0.4798071041527482,124.55467,1.0,52.25184,653.4105837253145,0.0316663489686118,3.17,1.0,0.5646445527656552,0.887071089446869,0.0486778331223723,4.87
4,CONFIPET,Energy,Oil & Gas Refining & Marketing,25785229312,3.4256,128.916,232.22,49.44,181.9,-34.03,63.12,13.21,3,8.0,72.23168654173764,99.77,99.54,99.65,65.77,99.88,48.04,90.32,95.62,81.22,92.55,1,0.0300252075486388,3.0,15417.9045,0.0341135066839544,3.41,CONFIPET.NS,0.524867637266319,103.12096,0.8279172511155142,47.54430758766732,815.250813552997,0.0395096397302414,3.95,0.9099068585463654,0.6176724974273379,0.7715951443792843,0.04234111574930003,4.23
6,CPPLUS,Industrials,Building Products & Equipment,412700606464,2.9808,97.332,266.91,67.29,117.36,-45.75,153.04,8.06,7,8.0,88.75638841567292,99.19,99.88,99.42,46.3,99.42,41.59,54.38,95.62,92.4,90.48,7,0.0293536550945526,2.94,14735.93472,0.0326045869310603,3.26,CPPLUS.NS,0.4551627827133646,82.88988,0.6654899410837025,45.21248349116256,893.9930215619432,0.0433257368359144,4.33,0.8652802177141046,0.5356427273718323,0.7051795180447564,0.038696572697574726,3.87
5,IDEAFORGE,Technology,Computer Hardware,41002508288,3.0412,110.138,188.3,80.6,129.83,-67.9,116.9,14.95,2,8.0,82.62350936967631,99.54,98.96,99.54,47.51,99.54,42.17,94.87,95.62,88.25,92.36,2,0.0299635674683121,3.0,15354.66528,0.0339735841961638,3.4,IDEAFORGE.NS,0.5651775336157424,94.50532,0.758745697772713,42.648551854665904,679.1440633465792,0.0329134749965033,3.29,0.8162114837423122,0.6651098179656435,0.6969609090128814,0.03824557831424848,3.82
7,IBULLSLTD,Real Estate,Real Estate - Development,51903754240,2.7118,107.468,204.86,40.88,151.86,-29.51,55.15,9.07,6,8.0,62.86201022146509,99.42,99.42,99.31,54.41,99.65,49.42,65.84,95.62,74.88,90.97,6,0.0295126216175006,2.95,14895.97362,0.0329586874565138,3.3,IBULLSLTD.NS,0.5522000813492712,85.89438000000001,0.6896118788641166,43.49980178182961,708.978917713778,0.0343593666507723,3.44,0.8325027746741476,0.6498377478615992,0.6788783118429857,0.037253299726966234,3.73
11,CEMPRO,Industrials,Engineering & Construction,191165235200,2.3866,94.006,177.0,71.92,108.73,-67.23,117.08,8.06,7,8.0,84.8381601362862,98.96,98.5,98.85,37.806666666666665,98.73,42.05,54.38,95.62,89.75,89.97,8,0.0291882001420966,2.92,14570.28162,0.0322380644808747,3.22,CEMPRO.NS,0.5249617698383903,81.16306,0.651625988812784,39.19456389832192,671.9557410694722,0.0325651061035051,3.26,0.75010877891232,0.6177832741198833,0.637137252266065,0.03496276816009563,3.5
9,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,46372597760,2.4372,95.582,169.2,67.16,114.53,-63.29,99.22,10.69,4,5.0,89.26746166950596,99.08,98.16,99.08,39.46666666666667,98.96,42.63,85.71,82.32,92.74,89.82,9,0.029139536920786,2.91,12101.448599999998,0.0267755483698599,2.68,BLISSGVS.NS,0.5825070563690763,81.53052,0.6545761792793477,38.9896264268919,401.6050209237784,0.0194630528749825,1.95,0.7461866687736145,0.6855034731241618,0.6232044445963525,0.034198208369182734,3.42
15,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38651703296,2.1294,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,10.69,4,8.0,81.60136286201022,98.04,99.08,98.39,33.26000000000001,98.04,43.55,85.71,95.62,87.56,91.26,4,0.0296067038453677,2.96,14991.097680000004,0.0331691580335378,3.32,IOLCP.NS,0.4674390705899278,63.98594000000001,0.5137177112668678,39.85443765669003,767.3512153306493,0.0371882733022332,3.72,0.762737497027665,0.5500896561848698,0.6005641520808392,0.03295582724097005,3.3
21,AEROFLEX,Industrials,Metal Fabrication,55545839616,1.8235,76.834,145.62,43.81,98.85,-38.43,64.54,8.06,7,7.0,84.32708688245314,98.16,96.66,97.7,34.74333333333333,98.16,47.58,54.38,90.5,89.4,89.08,12,0.028899465028987,2.89,13489.91888,0.0298476643099509,2.98,AEROFLEX.NS,0.5551397122338578,63.828950000000006,0.5124573008784015,36.71006859513176,529.0209694768483,0.0256380338005201,2.56,0.7025603040032994,0.6532971517590352,0.5553476116008733,0.030474579415356407,3.05
18,AVALON,Technology,Electronic Components,107387936768,2.0019,70.78999999999999,142.92,55.4,81.05,-48.83,97.69,14.95,2,8.0,0.0,97.64,96.37,98.04,29.206666666666663,97.29,43.03,94.87,95.62,16.24,87.55,20,0.0284031001716189,2.84,13797.0045,0.0305271189887898,3.05,AVALON.NS,0.5351744006793155,61.34618999999999,0.49252420643882716,36.18375863096582,608.5003828010618,0.0294898582135803,2.95,0.6924877407372797,0.6298016588495501,0.5480444471005327,0.030073819851616723,3.01
