Symbol,Weight,Expected_Return,Volatility
NTPC.NS,0.092,0.2974,0.1955
POWERGRID.NS,0.0849,0.1603,0.2118
GVKPIL.NS,0.0719,-0.2243,0.2502
GAIL.NS,0.0671,0.0559,0.268
CESC.NS,0.0583,0.296,0.3086
JSWENERGY.NS,0.0563,0.2772,0.3195
NTPCGREEN.NS,0.0561,0.125,0.3205
PTC.NS,0.0542,0.2775,0.3315
GIPCL.NS,0.0509,-0.1738,0.353
ADANIENSOL.NS,0.0432,0.954,0.416
WAAREERTL.NS,0.0412,0.0564,0.4361
ADANIGREEN.NS,0.0402,0.6446,0.4471
GREENPOWER.NS,0.0395,-0.1248,0.4549
ATGL.NS,0.0383,0.4441,0.4695
KPIGREEN.NS,0.0378,0.0707,0.4755
INOXGREEN.NS,0.0368,-0.1473,0.489
IRMENERGY.NS,0.0347,-0.2886,0.5187
ENERGYDEV.NS,0.0334,-0.0363,0.5385
INDOWIND.NS,0.0318,-0.6337,0.5656
GKENERGY.NS,0.0315,-0.3077,0.5706
