ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_RANK,SECTOR_SCORE,AI_SCORE,RAW_WEIGHT,FINAL_WEIGHT,EXPECTED_RETURN_5D,EXPECTED_RETURN_15D,EXPECTED_RETURN_30D,EST_HOLD_DAYS,SIGNAL,WEIGHTED_5D,WEIGHTED_15D,WEIGHTED_30D,TARGET_WEIGHT
1,HFCL,Technology,Communication Equipment,286511267840,4.4367,147.74,340.57,94.61,183.16,-89.75,175.92,2,14.95,3648.83,0.07740609234841485,0.07740609234841483,3.99,8.78,13.98,29,HOLD,0.3088503084701752,0.6796254908190822,1.0821371710308394,0.0774
2,HITECHCORP,Consumer Cyclical,Packaging & Containers,5399009280,4.1157,152.342,252.24,128.03,168.55,-97.23,191.6,9,6.62,3563.53,0.07559640442124937,0.07559640442124936,2.88,6.33,10.1,22,REDUCE,0.21771764473319816,0.4785252399865085,0.7635236846546185,0.0756
4,CONFIPET,Energy,Oil & Gas Refining & Marketing,25785229312,3.4256,128.916,232.22,49.44,181.9,-34.03,63.12,3,13.21,3052.45,0.06475447506990845,0.06475447506990843,4.22,9.28,13.89,30,BUY,0.27326388479501357,0.6009215286487503,0.8994396587210282,0.0648
3,BBOX,Technology,Software - Application,190546182144,3.6467,117.44,263.53,110.42,122.12,-106.17,238.28,2,14.95,2888.5,0.061276322126285615,0.0612763221262856,4.01,8.81,15.06,29,BUY,0.24571805172640523,0.5398443979325762,0.9228214112218612,0.0613
5,IDEAFORGE,Technology,Computer Hardware,41002508288,3.0412,110.138,188.3,80.6,129.83,-67.9,116.9,2,14.95,2589.15,0.05492609397733891,0.0549260939773389,4.29,9.44,14.42,31,BUY,0.23563294316278388,0.5185023271460791,0.7920342751532269,0.0549
7,IBULLSLTD,Real Estate,Real Estate - Development,51903754240,2.7118,107.468,204.86,40.88,151.86,-29.51,55.15,6,9.07,2566.85,0.054452948323063015,0.054452948323063,4.26,9.38,14.32,30,BUY,0.23196955985624837,0.510768655270331,0.7797662199862622,0.0545
6,CPPLUS,Industrials,Building Products & Equipment,412700606464,2.9808,97.332,266.91,67.29,117.36,-45.75,153.04,7,8.06,2490.01,0.05282290522747233,0.052822905227472315,4.7,10.33,17.56,33,STRONG BUY,0.2482676545691199,0.545660610999789,0.9275702157944138,0.0528
10,GVPIL,Industrials,Engineering & Construction,59435806720,2.4071,98.272,159.45,83.5,108.12,-80.52,123.14,7,8.06,2292.25,0.04862756925818082,0.048627569258180806,4.33,9.54,15.23,31,BUY,0.2105573748879229,0.46390701072304485,0.7405978798020937,0.0486
9,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,46372597760,2.4372,95.582,169.2,67.16,114.53,-63.29,99.22,4,10.69,2257.94,0.04789970958160323,0.047899709581603216,4.24,9.33,15.88,30,BUY,0.20309476862599765,0.446904290396358,0.7606473881558591,0.0479
11,CEMPRO,Industrials,Engineering & Construction,191165235200,2.3866,94.006,177.0,71.92,108.73,-67.23,117.08,7,8.06,2241.93,0.04756007016626626,0.04756007016626625,4.69,10.31,17.52,33,STRONG BUY,0.2230567290797887,0.49034432341420503,0.8332524293129846,0.0476
12,BALAMINES,Basic Materials,Specialty Chemicals,66204966912,2.3836,90.97,157.37,74.23,102.13,-58.26,114.38,5,9.84,2142.26,0.04544579374566834,0.04544579374566833,4.05,8.91,13.17,29,BUY,0.18405546466995673,0.40492202227390484,0.598521103630452,0.0454
13,FCL,Basic Materials,Specialty Chemicals,47430119424,2.3138,89.732,155.77,84.35,93.32,-81.71,140.79,5,9.84,2114.38,0.04485439869612489,0.044854398696124884,2.99,6.57,10.49,22,REDUCE,0.1341146521014134,0.2946933994335405,0.47052264232235,0.0449
8,E2E,Technology,Software - Infrastructure,93021306880,2.5192,88.128,170.32,60.93,106.26,-44.57,97.66,2,14.95,2111.83,0.04480023190521179,0.04480023190521178,3.89,8.55,13.63,28,HOLD,0.17427290211127383,0.38304198278956075,0.6106271608680366,0.0448
16,APOLLO,Industrials,Aerospace & Defense,150550642688,2.1097,86.072,166.1,53.03,108.1,-49.21,81.48,7,8.06,2060.42,0.04370964887937014,0.043709648879370136,4.01,8.83,12.99,29,BUY,0.17527569200627424,0.3859561996048383,0.5677883389430181,0.0437
14,BLUSPRING,Industrials,Specialty Business Services,13950314496,2.198,81.81,178.94,52.2,101.55,-33.17,91.98,7,8.06,2001.37,0.042456964514743324,0.04245696451474332,4.24,9.33,16.14,30,BUY,0.18001752954251168,0.39612347892255517,0.6852554072679572,0.0425
17,BHAGYANGR,Basic Materials,Copper,9811266560,2.0279,81.588,151.42,51.93,101.36,-46.53,77.58,5,9.84,1941.39,0.041184594899325425,0.04118459489932542,4.06,8.93,15.39,29,BUY,0.1672094552912612,0.36777843245097597,0.6338309155006182,0.0412
15,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38651703296,2.1294,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,4,10.69,1924.68,0.040829978133796366,0.04082997813379636,4.83,10.63,18.53,34,STRONG BUY,0.19720879438623642,0.4340226675622553,0.7565794948192466,0.0408
21,AEROFLEX,Industrials,Metal Fabrication,55545839616,1.8235,76.834,145.62,43.81,98.85,-38.43,64.54,7,8.06,1833.99,0.03890605395587528,0.03890605395587527,3.95,8.7,12.89,28,HOLD,0.15367891312570733,0.3384826694161148,0.5014990354912323,0.0389
18,AVALON,Technology,Electronic Components,107387936768,2.0019,70.78999999999999,142.92,55.4,81.05,-48.83,97.69,2,14.95,1709.22,0.03625918048890231,0.0362591804889023,4.53,9.97,16.58,32,BUY,0.16425408761472743,0.361504029474356,0.6011772125060001,0.0363
22,FIRSTCRY,Consumer Cyclical,Internet Retail,107294236672,1.7178,70.78999999999999,142.92,55.4,81.05,-48.83,97.69,9,6.62,1707.87,0.03623056428119937,0.03623056428119936,2.6,5.71,8.41,20,REDUCE,0.09419946713111835,0.20687652204564835,0.30469904560488664,0.0362
