Symbol,Lifecycle_Stage,Holding_Days
HFCL,HELD,1
CONFIPET,HELD,1
CPPLUS,HELD,1
IDEAFORGE,HELD,1
IBULLSLTD,HELD,1
CEMPRO,HELD,1
BLISSGVS,HELD,1
IOLCP,HELD,1
AEROFLEX,HELD,1
AVALON,HELD,1
ADANIGREEN,HELD,1
HSCL,HELD,1
APCOTEXIND,HELD,1
ADANIENT,HELD,1
EFFWA,HELD,1
ADANIENSOL,HELD,1
ACMESOLAR,HELD,1
IDEA,HELD,1
AIMTRON,HELD,1
GRANULES,HELD,1
ARVIND,HELD,1
BAJAJCON,HELD,1
ATHERENERG,HELD,1
HONASA,HELD,1
JINDALSAW,HELD,1
ANGELONE,HELD,1
ACCENTMIC,HELD,1
GOKULAGRO,HELD,1
AFIL,HELD,1
ASIANENE,HELD,1
EMAMIREAL,HELD,1
GANESHHOU,HELD,1
ARROWGREEN,HELD,1
EMKAY,HELD,1
BCG,HELD,1
HMVL,HELD,1
