Symbol,Sector,Industry,ALPHA_SCORE,RS_30D,RS_60D,EXPECTED_RETURN_5D,EXPECTED_RETURN_15D,EXPECTED_RETURN_30D,EST_HOLD_DAYS,SIGNAL,FINAL_WEIGHT,WEIGHT_RANK
IBULLSLTD,Real Estate,Real Estate - Development,2.7118,40.88,151.86,4.26,9.38,14.32,30,BUY,9.13,1.0
CONFIPET,Energy,Oil & Gas Refining & Marketing,3.4256,49.44,181.9,4.22,9.28,13.89,30,BUY,7.98,2.0
ADANIGREEN,Utilities,Utilities - Renewable,1.8811,32.76,82.81,4.71,10.36,17.85,33,STRONG BUY,7.48,3.0
BHAGYANGR,Basic Materials,Copper,2.0279,51.93,101.36,4.06,8.93,15.39,29,BUY,6.49,4.0
APOLLO,Industrials,Aerospace & Defense,2.1097,53.03,108.1,4.01,8.83,12.99,29,BUY,6.18,5.0
IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,2.1294,45.95,96.9,4.83,10.63,18.53,34,STRONG BUY,5.49,6.0
BLUSPRING,Industrials,Specialty Business Services,2.198,52.2,101.55,4.24,9.33,16.14,30,BUY,5.48,7.0
AVALON,Technology,Electronic Components,2.0019,55.4,81.05,4.53,9.97,16.58,32,BUY,5.16,8.5
E2E,Technology,Software - Infrastructure,2.5192,60.93,106.26,3.89,8.55,13.63,28,HOLD,5.16,8.5
BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,2.4372,67.16,114.53,4.24,9.33,15.88,30,BUY,5.08,10.0
CALSOFT,Technology,Software - Application,1.8426,77.13,68.45,3.51,7.71,12.94,26,HOLD,4.81,11.0
BALAMINES,Basic Materials,Specialty Chemicals,2.3836,74.23,102.13,4.05,8.91,13.17,29,BUY,4.4,12.0
IDEAFORGE,Technology,Computer Hardware,3.0412,80.6,129.83,4.29,9.44,14.42,31,BUY,4.31,13.0
CEMPRO,Industrials,Engineering & Construction,2.3866,71.92,108.73,4.69,10.31,17.52,33,STRONG BUY,4.3,14.0
GVPIL,Industrials,Engineering & Construction,2.4071,83.5,108.12,4.33,9.54,15.23,31,BUY,4.09,15.0
FCL,Basic Materials,Specialty Chemicals,2.3138,84.35,93.32,2.99,6.57,10.49,22,REDUCE,3.58,16.0
CPPLUS,Industrials,Building Products & Equipment,2.9808,67.29,117.36,4.7,10.33,17.56,33,STRONG BUY,3.29,17.0
HFCL,Technology,Communication Equipment,4.4367,94.61,183.16,3.99,8.78,13.98,29,HOLD,2.86,18.0
HITECHCORP,Consumer Cyclical,Packaging & Containers,4.1157,128.03,168.55,2.88,6.33,10.1,22,REDUCE,2.63,19.0
BBOX,Technology,Software - Application,3.6467,110.42,122.12,4.01,8.81,15.06,29,BUY,2.11,20.0
