ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,INITIAL_WEIGHT,INITIAL_WEIGHT_%,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%
4,CONFIPET,Energy,Oil & Gas Refining & Marketing,25785229312,3.4256,128.916,232.22,49.44,181.9,-34.03,63.12,13.21,3,8.0,72.23168654173764,99.77,99.54,99.65,65.77,99.88,48.04,90.32,95.62,81.22,92.55,1,0.0300252075486388,3.0,15417.904499999999,0.034113506683954416,3.41
5,IDEAFORGE,Technology,Computer Hardware,41002508288,3.0412,110.138,188.3,80.6,129.83,-67.9,116.9,14.95,2,8.0,82.62350936967631,99.54,98.96,99.54,47.51,99.54,42.17,94.87,95.62,88.25,92.36,2,0.0299635674683121,3.0,15354.665280000001,0.03397358419616381,3.4
34,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1896825356288,1.4986,49.804,148.2,20.41,69.4,-15.26,43.58,15.17,1,8.0,97.78534923339012,94.93,97.0,96.2,24.85,95.74,55.41,99.08,95.62,98.5,92.09,3,0.029875973669953,2.99,15265.02258,0.033775241623370096,3.38
15,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38651703296,2.1294,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,10.69,4,8.0,81.60136286201022,98.04,99.08,98.39,33.26000000000001,98.04,43.55,85.71,95.62,87.56,91.26,4,0.0296067038453677,2.96,14991.097680000004,0.03316915803353781,3.32
7,IBULLSLTD,Real Estate,Real Estate - Development,51903754240,2.7118,107.468,204.86,40.88,151.86,-29.51,55.15,9.07,6,8.0,62.86201022146509,99.42,99.42,99.31,54.41,99.65,49.42,65.84,95.62,74.88,90.97,6,0.0295126216175006,2.95,14895.97362,0.03295868745651387,3.3
6,CPPLUS,Industrials,Building Products & Equipment,412700606464,2.9808,97.332,266.91,67.29,117.36,-45.75,153.04,8.06,7,8.0,88.75638841567292,99.19,99.88,99.42,46.3,99.42,41.59,54.38,95.62,92.4,90.48,7,0.0293536550945526,2.94,14735.934720000001,0.03260458693106031,3.26
11,CEMPRO,Industrials,Engineering & Construction,191165235200,2.3866,94.006,177.0,71.92,108.73,-67.23,117.08,8.06,7,8.0,84.8381601362862,98.96,98.5,98.85,37.806666666666665,98.73,42.05,54.38,95.62,89.75,89.97,8,0.0291882001420966,2.92,14570.28162,0.0322380644808747,3.22
30,HSCL,Basic Materials,Specialty Chemicals,345636208640,1.5659,50.088,166.78,36.81,58.94,-22.97,104.16,9.84,5,8.0,98.46678023850085,95.05,97.93,96.66,24.26,95.28,42.51,74.83,95.62,98.96,89.72,10,0.0291070947732456,2.91,14489.421119999999,0.03205915331903569,3.21
36,ADANIENT,Energy,Thermal Coal,4182092546048,1.4517,49.048,132.04,40.66,54.64,-36.08,98.26,13.21,3,8.0,98.9778534923339,94.82,95.74,95.97,19.74,92.28,42.86,90.32,95.62,99.31,89.56,11,0.0290551873371809,2.91,14437.788480000001,0.03194491143812703,3.19
19,ADANIGREEN,Utilities,Utilities - Renewable,2513096671232,1.8811,62.79,170.25,32.76,82.81,-28.55,67.35,15.17,1,8.0,0.0,97.24,98.27,97.93,29.006666666666664,97.12,46.89,99.08,95.62,16.24,88.22,14,0.0286204625601396,2.86,14008.98312,0.0309961408373962,3.1
31,ACMESOLAR,Utilities,Utilities - Renewable,251640758272,1.5448,47.11999999999999,150.14,22.58,63.48,-6.68,53.41,15.17,1,8.0,0.0,94.59,97.12,96.54,26.46,96.2,50.23,99.08,95.62,16.24,87.58,18,0.028412832815881,2.84,13806.461519999999,0.03054804349996327,3.05
18,AVALON,Technology,Electronic Components,107387936768,2.0019,70.78999999999999,142.92,55.4,81.05,-48.83,97.69,14.95,2,8.0,0.0,97.64,96.37,98.04,29.206666666666663,97.29,43.03,94.87,95.62,16.24,87.55,20,0.0284031001716189,2.84,13797.0045,0.030527118988789893,3.05
39,APCOTEXIND,Basic Materials,Specialty Chemicals,28006647808,1.3972,51.22,125.17,41.14,57.94,-27.63,88.87,9.84,5,8.0,44.97444633730835,95.39,95.28,95.62,23.816666666666663,94.82,43.89,74.83,95.62,62.79,87.54,21,0.0283998559568649,2.84,13793.852880000002,0.030520145744797157,3.05
65,ATHERENERG,Consumer Cyclical,Auto Manufacturers,395993808896,1.0273,43.690000000000005,129.45,19.09,60.09,-11.05,41.12,6.62,9,8.0,96.763202725724,92.86,95.51,92.63,22.710000000000004,94.24,56.57,29.21,95.62,97.81,87.2,23,0.0282895526552275,2.83,13686.912,0.030283529385896502,3.03
21,AEROFLEX,Industrials,Metal Fabrication,55545839616,1.8235,76.834,145.62,43.81,98.85,-38.43,64.54,8.06,7,7.0,84.32708688245314,98.16,96.66,97.7,34.74333333333333,98.16,47.58,54.38,90.5,89.4,89.08,12,0.028899465028987,2.89,13489.91888,0.029847664309950995,2.98
79,BAJAJCON,Consumer Defensive,Household & Personal Products,72107843584,0.9208,44.144000000000005,106.48,22.67,58.46,-22.03,41.29,7.34,8,8.0,77.00170357751279,93.2,91.71,91.01,19.7,92.17,56.34,40.67,95.62,84.45,86.02,39,0.0279067353142508,2.79,13318.99272,0.029469474738104663,2.95
81,ASIANENE,Energy,Oil & Gas Equipment & Services,18563803136,0.8705,34.24,76.41,25.84,39.84,-18.31,49.56,13.21,3,8.0,73.59454855195912,89.06,83.64,90.78,15.79,88.02,51.96,90.32,95.62,82.14,85.65,42,0.0277866993683513,2.78,13204.660500000002,0.029216504371660814,2.92
72,HONASA,Consumer Defensive,Household & Personal Products,135433666560,0.9981,38.636,135.27,25.19,47.6,-22.01,71.58,7.34,8,8.0,92.16354344122658,90.78,95.85,91.82,16.926666666666666,89.63,45.97,40.67,95.62,94.7,85.2,47,0.0276407097044196,2.76,13066.272000000003,0.02891030731227882,2.89
105,GOKULAGRO,Consumer Defensive,Packaged Foods,68710944768,0.6885,34.0,112.36,3.16,54.56,-0.73,6.51,7.34,8,7.0,55.36626916524702,88.82,92.86,88.02,18.996666666666663,91.36,89.92,40.67,90.5,69.82,86.58,31,0.0280884113404771,2.81,12743.363879999999,0.028195843922657792,2.82
56,GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,195722395648,1.1158,36.608,146.84,22.49,46.02,-19.63,71.76,10.69,4,7.0,83.64565587734242,89.86,96.77,93.66,16.293333333333337,88.94,45.62,85.71,90.5,88.94,86.55,32,0.0280786786962149,2.81,12734.534249999999,0.028176307568542884,2.82
32,EFFWA,Unknown,Unknown,5069229568,1.5282,61.23400000000001,130.8,46.45,71.09,-24.89,85.46,5.75,10,8.0,0.0,96.89,95.62,96.43,30.883333333333336,97.58,44.01,17.74,95.62,16.24,83.34,66,0.0270372857601681,2.7,12502.000080000002,0.027661804708407598,2.77
112,ANGELONE,Financial Services,Capital Markets,303780003840,0.6598,37.064,120.27,5.6,58.04,-6.23,11.6,4.13,12,7.0,94.03747870528107,90.09,94.24,87.21,19.136666666666667,91.71,82.37,5.99,90.5,95.97,85.63,43,0.0277802109388433,2.78,12465.244729999999,0.02758048017575816,2.76
1,HFCL,Technology,Communication Equipment,286511267840,4.4367,147.74,340.57,94.61,183.16,-89.75,175.92,14.95,2,5.0,99.48892674616695,99.88,100.0,100.0,62.673333333333325,99.77,41.47,94.87,82.32,99.65,91.16,5,0.0295742616978273,2.96,12465.2184,0.027580421918254296,2.76
98,ACCENTMIC,Unknown,Unknown,6382436864,0.7461,36.62,101.14,18.32,48.82,-9.46,37.95,5.75,10,8.0,33.901192504258944,89.98,90.67,88.82,19.226666666666667,91.82,58.35,17.74,95.62,55.3,82.52,73,0.0267712601503369,2.68,12257.190719999999,0.02712014188135774,2.71
44,IDEA,Communication Services,Telecom Services,1619728400384,1.3462,58.42,113.7,63.49,55.04,-55.8,131.15,4.24,11,7.0,98.63713798977854,96.66,93.32,95.05,20.91,93.2,41.82,13.02,90.5,99.08,84.84,55,0.0275239179732741,2.75,12236.303520000001,0.027073927064239826,2.71
9,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,46372597760,2.4372,95.582,169.2,67.16,114.53,-63.29,99.22,10.69,4,5.0,89.26746166950596,99.08,98.16,99.08,39.46666666666667,98.96,42.63,85.71,82.32,92.74,89.82,9,0.029139536920786,2.91,12101.448599999998,0.026775548369859906,2.68
152,ARROWGREEN,Consumer Cyclical,Packaging & Containers,8101468672,0.4985,31.128,87.46,2.07,50.5,-0.08,3.59,6.62,9,7.0,51.27768313458262,86.98,87.9,82.6,17.496666666666666,89.98,93.78,29.21,90.5,67.05,84.12,58,0.0272903345109832,2.73,12029.496480000002,0.026616347803625724,2.66
66,ARVIND,Consumer Cyclical,Textile Manufacturing,129406001152,1.0159,43.332,118.39,31.38,51.3,-26.27,72.42,6.62,9,7.0,77.68313458262351,92.51,94.12,92.51,18.80333333333333,91.13,45.39,29.21,90.5,84.91,83.84,62,0.0271994964978701,2.72,11949.54752,0.02643945350639258,2.64
103,AFIL,Financial Services,Credit Services,6146965504,0.6969,38.988,101.36,14.61,55.24,-8.63,26.81,4.13,12,8.0,0.0,91.24,90.78,88.25,20.406666666666663,92.74,66.82,5.99,95.62,16.24,81.1,85,0.0263105816552632,2.63,11838.978,0.026194808453651353,2.62
84,JINDALSAW,Basic Materials,Steel,159768723456,0.8377,38.348,104.11,7.7,58.78,-5.51,13.64,9.84,5,5.0,78.87563884156728,90.67,91.24,90.44,20.32333333333333,92.63,80.3,74.83,82.32,85.71,87.74,17,0.0284647402519457,2.85,11547.461399999998,0.02554980163819315,2.55
38,AIMTRON,Unknown,Unknown,11131658240,1.4114,58.044,147.15,31.02,76.06,-19.39,60.01,5.75,10,5.0,44.122657580919935,96.43,96.89,95.74,29.23,97.47,48.73,17.74,82.32,62.21,84.01,60,0.0272546481486888,2.73,10586.52015,0.023423632303393963,2.34
139,EMKAY,Financial Services,Capital Markets,7947385856,0.556,31.05,51.76,24.84,35.19,9.0,36.53,4.13,12,5.0,47.52981260647359,86.87,69.93,84.1,23.01,94.53,59.45,5.99,82.32,64.52,77.57,121,0.0251653738470871,2.52,9025.65735,0.019970082337473768,2.0
143,GANESHHOU,Real Estate,Real Estate - Development,65104470016,0.545,25.49,62.14,25.07,25.77,-13.6,60.45,9.07,6,5.0,42.4190800681431,81.45,76.44,83.64,12.413333333333334,82.49,48.62,65.84,82.32,61.06,76.64,137,0.0248636618749614,2.49,8810.5344,0.019494103374658362,1.95
123,EMAMIREAL,Real Estate,Real Estate - Development,4448897536,0.6276,35.662,65.5,23.8,43.57,-25.35,35.78,9.07,6,4.0,0.0,89.63,78.4,85.94,14.006666666666668,85.37,60.02,65.84,72.12,16.24,76.47,141,0.0248085102241428,2.48,8186.725259999999,0.018113869292465033,1.81
159,BCG,Communication Services,Advertising Agencies,24403929088,0.4636,30.68,51.82,30.17,31.02,-13.47,50.4,4.24,11,5.0,0.0,86.64,70.05,81.8,15.906666666666666,88.25,51.38,13.02,82.32,16.24,72.96,186,0.0236697908454748,2.37,7984.742399999999,0.01766696396595622,1.77
177,HMVL,Communication Services,Publishing,5927500288,0.418,24.554,66.92,21.14,26.83,-1.96,52.73,4.24,11,0.0,16.183986371379895,80.88,79.72,79.72,15.336666666666666,87.56,50.81,13.02,20.45,43.32,64.52,286,0.0209316735930651,2.09,4162.8304,0.009210638363635514,0.92
