Symbol,Current_Price,EMA50,ATR,ATR_Stop,Hard_Stop,Stop_Type,Action
EMAMIREAL,84.15,84.32,1.86,78.58,71.53,EMA50,EXIT
HFCL,178.01,137.66,10.49,146.55,151.31,NONE,HOLD
ARVIND,500.1,438.05,18.79,443.72,425.09,NONE,HOLD
BAJAJCON,582.2,497.76,26.06,504.02,494.87,NONE,HOLD
ATHERENERG,1032.8,904.57,43.27,903.0,877.88,NONE,HOLD
HONASA,407.95,362.33,14.84,363.42,346.76,NONE,HOLD
JINDALSAW,239.81,225.61,10.12,209.45,203.84,NONE,HOLD
ANGELONE,337.55,309.77,11.98,301.61,286.92,NONE,HOLD
ACCENTMIC,475.7,428.63,19.52,417.16,404.35,NONE,HOLD
GOKULAGRO,233.9,220.52,9.69,204.84,198.81,NONE,HOLD
AFIL,10.01,9.13,0.46,8.62,8.51,NONE,HOLD
ASIANENE,383.8,326.98,22.22,317.13,326.23,NONE,HOLD
GANESHHOU,769.8,689.98,32.23,673.12,654.33,NONE,HOLD
ARROWGREEN,600.6,512.34,35.1,495.3,510.51,NONE,HOLD
EMKAY,283.74,236.43,17.88,230.1,241.18,NONE,HOLD
GRANULES,765.05,718.14,21.79,699.69,650.29,NONE,HOLD
AIMTRON,1205.85,1071.56,63.29,1015.98,1024.97,NONE,HOLD
IDEA,14.14,12.29,0.52,12.59,12.02,NONE,HOLD
ACMESOLAR,348.7,296.32,13.54,308.09,296.4,NONE,HOLD
CONFIPET,75.5,58.99,5.0,60.51,64.18,NONE,HOLD
CPPLUS,3482.2,2530.24,159.05,3005.05,2959.87,NONE,HOLD
IDEAFORGE,964.9,712.38,55.27,799.08,820.17,NONE,HOLD
IBULLSLTD,24.47,18.58,1.21,20.83,20.8,NONE,HOLD
CEMPRO,1203.8,869.6,57.09,1032.53,1023.23,NONE,HOLD
BLISSGVS,421.6,316.5,23.76,350.31,358.36,NONE,HOLD
IOLCP,132.84,107.86,7.74,109.61,112.91,NONE,HOLD
AEROFLEX,425.7,350.37,25.43,349.42,361.85,NONE,HOLD
AVALON,1639.5,1301.7,93.35,1359.45,1393.58,NONE,HOLD
ADANIGREEN,1534.5,1292.82,57.1,1363.2,1304.32,NONE,HOLD
HSCL,679.5,575.14,33.39,579.33,577.57,NONE,HOLD
APCOTEXIND,539.0,455.4,22.59,471.22,458.15,NONE,HOLD
ADANIENT,2979.9,2585.54,94.01,2697.86,2532.91,NONE,HOLD
EFFWA,310.25,255.17,20.4,249.05,263.71,NONE,HOLD
ADANIENSOL,1579.2,1343.72,63.62,1388.34,1342.32,NONE,HOLD
BCG,10.73,10.12,0.58,8.99,9.12,NONE,HOLD
HMVL,84.86,68.69,3.81,73.42,72.13,NONE,HOLD
