Symbol,Weight,Expected_Return,Volatility
ADANIPOWER.NS,0.0742,0.9973,0.3755
PREMIERENE.NS,0.0741,0.1915,0.376
UTLSOLAR.NS,0.0632,0.9338,0.4411
BBOX.NS,0.0605,1.4058,0.4609
HFCL.NS,0.0541,1.8872,0.5155
SOFTTECH.NS,0.0535,0.7903,0.5207
VENUSREM.NS,0.0519,1.3546,0.537
NINSYS.NS,0.0501,1.2603,0.5567
EMMVEE.NS,0.0484,0.8193,0.5755
JPPOWER.NS,0.0483,0.1805,0.5771
SUVEN.NS,0.0469,1.0593,0.5941
DSSL.NS,0.0465,1.3584,0.5994
SASKEN.NS,0.0458,1.1552,0.6085
BLISSGVS.NS,0.0423,2.1054,0.6584
IDEAFORGE.NS,0.0423,1.2588,0.6595
STLTECH.NS,0.041,3.2966,0.6803
PARACABLES.NS,0.0401,1.195,0.695
TEJASNET.NS,0.0396,0.2767,0.7029
WEBELSOLAR.NS,0.0392,0.1631,0.7108
CONFIPET.NS,0.0381,1.2796,0.7313
