Symbol,Weight,Expected_Return,Volatility,WEIGHT_RANK
NHPC,0.0853,-0.0365,0.2304,1.0
CESC,0.0636,0.263,0.3088,2.0
MGL,0.0632,-0.1237,0.3109,3.0
JSWENERGY,0.0616,0.2577,0.3189,4.0
PTC,0.0589,0.2228,0.3334,5.0
GIPCL,0.055,-0.0987,0.3571,6.0
SJVN,0.0538,-0.2055,0.3652,7.0
ADANIPOWER,0.0533,0.8505,0.3685,8.0
ENRIN,0.0524,0.2199,0.3752,9.0
SURANAT&P,0.0491,-0.1155,0.4003,10.0
ADANIENSOL,0.0473,0.9214,0.4155,11.0
ADANIGREEN,0.0441,0.6258,0.446,12.0
GREENPOWER,0.0433,-0.1133,0.4536,13.0
BAJEL,0.042,0.0494,0.4673,14.0
ATGL,0.0417,0.3744,0.4714,15.0
KARMAENG,0.0412,-0.4015,0.4764,16.0
IRMENERGY,0.0379,-0.3226,0.5178,17.0
ENERGYDEV,0.0365,-0.0885,0.5385,18.0
JPPOWER,0.0352,0.484,0.5583,19.0
GKENERGY,0.0345,-0.3002,0.5688,20.0
