Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%
STLTECH,93.95,7.0,17.5,HIGH,100,1,116.5,0.058623136262309604,5.86
SIGMAADV,91.78,5.0,15.32,HIGH,100,19,105.96000000000001,0.0533193778399513,5.33
HFCL,93.92,5.0,15.04,HIGH,100,2,105.12,0.05289668741539902,5.29
VENUSREM,93.1,7.0,12.71,HIGH,100,6,102.13,0.05139211078514746,5.14
KERNEX,92.72,7.0,12.51,HIGH,100,11,101.53,0.05109018905332441,5.11
BBOX,93.55,5.0,13.71,HIGH,100,4,101.13,0.050888907898775704,5.09
NINSYS,93.85,5.0,13.54,HIGH,100,3,100.62,0.05063227442672612,5.06
SASKEN,93.5,5.0,13.36,HIGH,100,5,100.08,0.05036054486808536,5.04
BLISSGVS,92.86,5.0,13.32,HIGH,100,9,99.96000000000001,0.05030016052172076,5.03
RUBICON,91.82,7.0,11.78,HIGH,100,18,99.34,0.049988174732170265,5.0
OFSS,92.01,7.0,11.56,HIGH,100,16,98.68,0.04965606082716491,4.97
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8,97.12,0.048871064324424965,4.89
SUVEN,92.42,5.0,12.36,HIGH,100,12,97.08,0.048850936208970096,4.89
DEEPINDS,92.3,7.0,11.0,HIGH,100,13,97.0,0.04881067997806036,4.88
IOLCP,92.11,5.0,12.19,HIGH,100,15,96.57,0.048594302736920496,4.86
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17,95.75999999999999,0.048186708398959374,4.82
EMMVEE,92.84,5.0,11.43,HIGH,100,10,94.28999999999999,0.04744700015599289,4.74
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20,93.99000000000001,0.047296039290081374,4.73
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14,92.28,0.046435562354385666,4.64
PREMIERENE,93.05,5.0,10.71,HIGH,100,7,92.13,0.0463600819214299,4.64
