Symbol,MULTI_FACTOR_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,NEWS_ALPHA,NEWS_SCORE,NEWS_BIAS,NEWS_IMPACT,NEWS_FLAG,ENTRY_SCORE,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
ADANIGREEN,81.87,98.6,98.22,98.22,98.48,29.006666666666664,94.70046082949308,3.06,POSITIVE,HIGH,NEWS CATALYST,8,HIGH,93.94,1
HSCL,78.71,98.86666666666667,96.45,97.97,97.46,24.26,69.12442396313364,0.96,NEUTRAL,LOW,NORMAL,10,HIGH,91.7,2
CEMPRO,77.8,86.06666666666666,99.24,98.48,99.24,37.806666666666665,66.47465437788019,1.95,NEUTRAL,LOW,NORMAL,10,HIGH,90.56,3
ACUTAAS,76.76,88.26666666666667,97.46,94.67,95.94,21.636666666666667,89.40092165898618,2.76,POSITIVE,MEDIUM,POSITIVE NEWS,8,HIGH,89.45,4
IOLCP,76.6,80.66666666666666,98.73,98.98,98.73,33.26000000000001,90.66820276497695,3.6,POSITIVE,HIGH,NEWS CATALYST,7,HIGH,87.09,5
INOXINDIA,72.32,83.2,82.74,94.42,86.29,16.8,66.24423963133641,0.81,NEUTRAL,LOW,NORMAL,10,HIGH,86.83,6
CPPLUS,78.67,89.33333333333333,99.49,99.75,99.49,46.3,66.3594470046083,1.95,NEUTRAL,LOW,NORMAL,8,HIGH,86.12,7
CEIGALL,68.58,64.26666666666667,85.79,94.92,89.59,14.563333333333333,98.963133640553,9.48,POSITIVE,HIGH,NEWS CATALYST,8,HIGH,85.86,8
HONASA,71.99,91.4,91.62,95.94,92.64,16.926666666666666,86.52073732718894,1.56,NEUTRAL,LOW,NORMAL,8,HIGH,85.67,9
ATHERENERG,75.31,97.06666666666666,94.16,95.43,93.4,22.710000000000004,72.81105990783409,1.2,NEUTRAL,LOW,NORMAL,8,HIGH,85.16,10
AKUMS,61.55,63.06666666666667,68.53,73.6,75.13,9.306666666666668,92.97235023041476,2.91,POSITIVE,MEDIUM,POSITIVE NEWS,10,HIGH,84.94,11
AZAD,71.2,83.53333333333333,88.83,87.56,88.58,17.896666666666665,85.13824884792626,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,8,HIGH,84.86,12
ARVIND,70.91,76.6,93.65,93.15,93.15,18.80333333333333,97.35023041474656,2.1,POSITIVE,MEDIUM,POSITIVE NEWS,7,HIGH,84.61,13
GLAND,73.72,91.26666666666668,90.86,90.61,91.62,14.326666666666666,87.67281105990783,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,7,HIGH,84.56,14
ACMESOLAR,78.5,84.73333333333333,95.43,97.46,97.72,26.46,95.27649769585254,6.0,POSITIVE,HIGH,NEWS CATALYST,5,HIGH,84.29,15
APCOTEXIND,72.52,46.73333333333333,97.21,95.18,96.19,23.816666666666663,72.46543778801843,1.2,NEUTRAL,LOW,NORMAL,8,HIGH,83.21,16
ADANIPORTS,68.33,96.2,80.71,85.03,82.74,10.276666666666667,98.73271889400922,11.01,POSITIVE,HIGH,NEWS CATALYST,7,HIGH,83.15,17
APARINDS,71.89,89.8,89.09,82.23,87.56,15.893333333333333,45.16129032258064,0.0,NEUTRAL,LOW,NORMAL,10,HIGH,82.33,18
GRANULES,74.5,84.33333333333334,90.1,96.95,94.67,16.293333333333337,72.58064516129032,1.2,NEUTRAL,LOW,NORMAL,7,HIGH,82.06,19
GOKULAGRO,70.25,54.93333333333334,89.34,91.37,87.31,18.996666666666663,73.04147465437788,1.2,NEUTRAL,LOW,NORMAL,8,HIGH,81.8,20
CGPOWER,73.19,95.33333333333334,88.07,90.36,89.09,14.933333333333332,62.903225806451616,0.0,NEUTRAL,LOW,NORMAL,8,HIGH,81.75,21
ADANIENT,77.99,99.06666666666666,95.94,95.69,95.69,19.74,42.85714285714285,0.0,NEUTRAL,LOW,NORMAL,8,HIGH,80.96,22
BBOX,79.0,86.46666666666667,99.75,99.49,99.75,42.12333333333334,85.9447004608295,2.16,POSITIVE,MEDIUM,POSITIVE NEWS,4,HIGH,80.26,23
ATGL,79.59,99.2,96.95,93.91,96.45,22.146666666666665,70.27649769585254,0.96,NEUTRAL,LOW,NORMAL,5,HIGH,80.02,24
DIACABS,73.75,88.8,95.69,93.65,95.18,20.89,64.63133640552995,0.96,NEUTRAL,LOW,NORMAL,7,MEDIUM,79.97,25
BAJEL,70.54,71.13333333333334,88.58,83.76,90.61,16.003333333333334,99.19354838709675,12.66,POSITIVE,HIGH,NEWS CATALYST,5,MEDIUM,79.73,26
ELGIEQUIP,63.58,77.13333333333333,77.41,74.62,76.9,10.676666666666668,84.10138248847926,1.92,NEUTRAL,LOW,NORMAL,8,MEDIUM,79.53,27
ADFFOODS,69.66,50.33333333333333,94.92,88.58,92.89,22.120000000000005,62.78801843317973,-0.12,NEUTRAL,LOW,NORMAL,8,MEDIUM,79.35,28
GULPOLY,68.78,59.2,87.56,84.77,88.83,19.04,75.92165898617512,0.0,NEUTRAL,LOW,NORMAL,7,MEDIUM,78.89,29
CRAFTSMAN,61.07,77.66666666666666,80.2,72.59,76.65,9.06,88.1336405529954,1.2,NEUTRAL,LOW,NORMAL,8,MEDIUM,78.65,30
ADANIENSOL,81.45,98.2,96.19,97.21,97.21,24.85,18.08755760368664,-0.72,NEUTRAL,LOW,NORMAL,8,MEDIUM,78.34,31
ADANIPOWER,81.53,99.13333333333333,96.7,99.24,97.97,24.090000000000003,92.2811059907834,3.3,POSITIVE,HIGH,NEWS CATALYST,2,MEDIUM,78.23,32
ASTERDM,65.42,78.26666666666667,74.87,79.19,79.19,8.926666666666664,44.93087557603687,0.0,NEUTRAL,LOW,NORMAL,10,MEDIUM,77.94,33
GOCLCORP,72.99,47.2,97.72,96.19,96.7,29.0,78.11059907834101,2.88,POSITIVE,MEDIUM,POSITIVE NEWS,5,MEDIUM,77.16,34
WELENT,60.15,58.8,74.11,71.32,72.84,10.01,58.06451612903226,0.96,NEUTRAL,LOW,NORMAL,10,MEDIUM,77.02,35
GUFICBIO,70.11,45.2,91.12,91.88,94.16,17.639999999999997,84.90783410138249,2.28,POSITIVE,MEDIUM,POSITIVE NEWS,5,MEDIUM,76.58,36
ASIANPAINT,66.08,95.06666666666666,71.83,85.53,77.92,8.603333333333332,97.81105990783408,6.63,POSITIVE,HIGH,NEWS CATALYST,5,MEDIUM,76.45,37
BHEL,75.57,96.93333333333334,94.42,96.7,93.91,17.663333333333334,99.88479262672811,12.3,POSITIVE,HIGH,NEWS CATALYST,2,MEDIUM,75.74,38
FACT,62.45,68.26666666666667,75.38,77.92,73.6,11.753333333333332,91.01382488479264,0.0,NEUTRAL,LOW,NORMAL,6,MEDIUM,75.16,39
