Symbol,ENTRY_SCORE,RSI,VOLUME_RATIO,EMA20,EMA50,DISTANCE_TO_HIGH,LAST_UPDATED,ENTRY_RANK
ASTERDM.NS,10,62.77,2.36,745.74,718.79,0.0,2026-06-09 06:48:50.841178,1.0
GULPOLY.NS,10,60.47,1.6,191.19,181.52,0.0,2026-06-09 11:41:21.683881,1.0
ABSLAMC.NS,10,60.65,2.96,1035.69,1011.72,-262.72,2026-06-09 06:48:50.841178,1.0
INNOVACAP.NS,10,62.12,1.69,857.43,811.5,-296.59,2026-06-09 11:41:21.683881,1.0
DATAPATTNS.NS,10,73.59,3.51,4081.08,3845.29,0.0,2026-06-09 11:41:21.683881,1.0
BELRISE.NS,10,74.29,5.48,216.82,209.97,0.0,2026-06-09 06:49:12.228709,1.0
J&KBANK.NS,10,84.06,2.58,142.52,134.17,0.0,2026-06-09 11:41:21.683881,1.0
INOXINDIA.NS,10,77.09,2.17,1512.76,1435.47,0.0,2026-06-09 11:41:21.683881,1.0
HINDOILEXP.NS,10,64.26,2.18,168.81,160.82,0.0,2026-06-09 11:41:21.683881,1.0
EMCURE.NS,9,51.72,2.47,1712.12,1663.22,-271.02,2026-06-09 12:42:30.892384,2.0
DIVISLAB.NS,9,42.48,2.2,6658.59,6544.39,-286.03,2026-06-09 11:41:21.683881,2.0
INDSWFTLAB.NS,8,73.9,1.31,148.46,142.04,-141.3,2026-06-09 11:41:21.683881,3.0
BALAMINES.NS,8,71.38,0.79,1868.28,1594.2,0.0,2026-06-09 06:48:50.841178,3.0
CPPLUS.NS,8,90.72,0.3,2955.24,2530.29,-152.93,2026-06-09 06:48:50.841178,3.0
BHARATFORG.NS,8,61.85,0.57,1918.81,1870.35,-214.26,2026-06-09 06:48:50.841178,3.0
EQUITASBNK.NS,8,69.78,1.37,70.8,67.92,0.0,2026-06-09 06:48:50.841178,3.0
BAJAJCON.NS,8,63.21,0.56,548.73,497.93,0.0,2026-06-09 06:48:50.841178,3.0
GVPIL.NS,8,78.85,1.21,795.29,672.32,-22.59,2026-06-09 11:41:21.683881,3.0
HSCL.NS,8,81.4,1.35,618.77,575.14,-81.02,2026-06-09 11:41:21.683881,3.0
JBCHEPHARM.NS,8,60.12,0.68,2152.75,2102.05,-39.65,2026-06-09 11:41:21.683881,3.0
ADANIENT.NS,8,71.64,0.32,2838.79,2586.22,-167.64,2026-06-09 06:48:50.841178,3.0
CEIGALL.NS,8,73.96,1.11,347.8,330.74,-414.01,2026-06-09 06:48:50.841178,3.0
BLSE.NS,8,92.6,0.36,215.66,198.26,0.0,2026-06-09 06:48:50.841178,3.0
DEEDEV.NS,8,86.72,0.52,585.56,485.11,-153.97,2026-06-09 06:48:50.841178,3.0
GAYAPROJ.NS,8,86.21,1.08,19.34,17.91,0.0,2026-06-09 11:41:21.683881,3.0
ATHERENERG.NS,8,65.36,0.44,961.65,903.8,-199.3,2026-06-09 06:49:12.228709,3.0
JAYBARMARU.NS,8,81.36,0.54,117.11,105.3,-63.94,2026-06-09 06:48:50.841178,3.0
ASIANENE.NS,8,64.66,0.47,351.61,326.96,-41.8,2026-06-09 06:48:50.841178,3.0
APCOTEXIND.NS,8,63.11,0.5,497.01,455.43,-3.7,2026-06-09 06:49:12.228709,3.0
NITINSPIN.NS,8,64.22,0.25,506.1,467.86,-123.72,2026-06-09 06:48:50.841178,3.0
HIRECT.NS,8,65.01,0.48,1049.4,951.53,-469.91,2026-06-09 11:41:21.683881,3.0
ACCENTMIC.NS,8,78.55,0.89,453.12,428.63,-35.61,2026-06-09 06:48:50.841178,3.0
ADFFOODS.NS,8,62.37,0.13,273.03,252.6,-427.68,2026-06-09 06:49:12.228709,3.0
CGPOWER.NS,8,64.35,0.46,888.84,833.35,-250.03,2026-06-09 06:49:19.278935,3.0
GUFICBIO.NS,8,89.28,0.72,335.55,315.04,-436.17,2026-06-09 11:41:21.683881,3.0
APOLLO.NS,8,66.35,0.44,384.56,332.05,-480.55,2026-06-09 06:48:50.841178,3.0
CCL.NS,8,62.52,1.3,1098.4,1089.51,-417.29,2026-06-09 06:49:12.228709,3.0
CHENNPETRO.NS,8,91.06,0.49,1106.07,1053.85,0.0,2026-06-09 06:49:12.228709,3.0
AFIL.NS,8,65.7,0.16,9.76,9.13,-472.14,2026-06-09 06:49:19.278935,3.0
EFFWA.NS,8,80.29,0.71,279.92,255.17,-390.27,2026-06-09 11:41:21.683881,3.0
ACUTAAS.NS,8,67.84,0.41,3024.33,2749.17,-283.03,2026-06-09 06:49:12.228709,3.0
CUPID.NS,8,97.2,0.88,129.04,117.12,0.0,2026-06-09 06:48:50.841178,3.0
CEMPRO.NS,8,81.57,1.41,1000.98,868.85,0.0,2026-06-09 06:49:12.228709,3.0
GANESHBE.NS,8,64.11,0.85,100.28,95.38,-119.7,2026-06-09 11:41:21.683881,3.0
CGCL.NS,8,76.13,0.48,194.89,188.37,-344.84,2026-06-09 06:49:12.228709,3.0
ACMESOLAR.NS,8,84.57,0.34,318.11,296.37,-186.46,2026-06-09 06:48:50.841178,3.0
IOLCP.NS,8,61.48,0.24,123.02,107.86,-243.83,2026-06-09 11:41:21.683881,3.0
ADANIGREEN.NS,8,70.81,0.39,1424.44,1292.21,-43.91,2026-06-09 06:48:50.841178,3.0
AVALON.NS,8,68.48,0.35,1474.24,1301.91,0.0,2026-06-09 06:48:50.841178,3.0
GRASIM.NS,8,65.98,0.88,3056.32,2947.71,-239.94,2026-06-09 11:41:21.683881,3.0
ADANIENSOL.NS,8,78.26,0.4,1470.29,1344.12,0.0,2026-06-09 06:48:50.841178,3.0
APOLLOHOSP.NS,8,67.54,0.62,8194.43,7962.65,0.0,2026-06-09 06:49:19.278935,3.0
ASTRAMICRO.NS,8,79.77,0.43,1300.9,1183.66,0.0,2026-06-09 06:48:50.841178,3.0
GRWRHITECH.NS,8,62.65,1.38,5622.72,5008.59,0.0,2026-06-09 11:41:21.683881,3.0
DIVGIITTS.NS,8,77.02,0.25,760.27,731.74,-327.15,2026-06-09 06:48:50.841178,3.0
IDEAFORGE.NS,8,80.02,0.56,836.49,712.38,0.0,2026-06-09 11:41:21.683881,3.0
ELGIEQUIP.NS,8,64.65,0.12,578.17,551.95,-359.24,2026-06-09 06:48:50.841178,3.0
CONFIPET.NS,8,66.92,0.17,67.66,59.0,-219.04,2026-06-09 06:49:12.228709,3.0
HONASA.NS,8,72.56,0.42,392.16,362.33,-285.75,2026-06-09 11:41:21.683881,3.0
INDIGRID.NS,8,69.91,0.7,170.57,168.27,-36.58,2026-06-09 11:41:21.683881,3.0
ICIL.NS,8,67.4,0.71,316.47,296.28,-281.59,2026-06-09 11:41:21.683881,3.0
BANDHANBNK.NS,8,72.46,0.73,201.3,191.03,-162.29,2026-06-09 06:48:50.841178,3.0
