ALPHA_RANK,Symbol,Sector,Industry,Market_Cap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,ADV_RUPEES,AVG_20D_VOLUME,LIQUIDITY_SCORE,LIQUIDITY_BUCKET,Industry_MASTER,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,FACTOR_MARKET_CAP,MULTI_FACTOR_SCORE,FACTOR_RANK
17,ADANIGREEN,Utilities,Utilities - Renewable,2442762387456.0,1.9768,62.79,170.25,32.76,82.81,-28.55,67.35,18.74,1.0,8.0,6600242321.1,4450602.0,98.6,HIGH,Unknown,98.22,98.22,98.48,29.006666666666664,98.22,43.15,98.48,8.0,98.6,95.17766497461929,81.87,1
20,ADANIPOWER,Utilities,Utilities - Independent Power Producers,4253818028032.0,1.7093,50.582,193.7,12.53,75.95,-16.21,31.96,18.74,1.0,2.0,8953066780.93,40588751.0,99.13333333333333,HIGH,Unknown,96.7,99.24,97.97,24.090000000000003,96.19,63.2,98.48,2.0,99.13,98.47715736040608,81.53,2
26,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1844689633280.0,1.5943,49.804,148.2,20.41,69.4,-15.26,43.58,18.74,1.0,8.0,5749072860.2,3743861.0,98.2,HIGH,Unknown,96.19,97.21,97.21,24.849999999999998,97.21,54.31,98.48,8.0,98.2,93.4010152284264,81.45,3
1,HFCL,Technology,Communication Equipment,258782887936.0,4.3674,147.74,340.57,94.61,183.16,-89.75,175.92,11.6,2.0,5.0,9356105908.14,55325562.0,99.33333333333331,HIGH,IT Services,100.0,100.0,100.0,62.673333333333325,100.0,37.56,94.29,5.0,99.33,64.46700507614213,80.53,4
33,ATGL,Utilities,Utilities - Regulated Gas,801101643776.0,1.4778,50.83,121.36,26.41,67.11,-27.08,47.76,18.74,1.0,5.0,8977177391.09,12324516.0,99.2,HIGH,Unknown,96.95,93.91,96.45,22.146666666666665,95.18,50.76,98.48,5.0,99.2,83.24873096446701,79.59,5
3,BBOX,Technology,Software - Application,179854704640.0,3.5774,117.44,263.53,110.42,122.12,-106.17,238.28,11.6,2.0,4.0,1197842993.04,1182821.0,86.46666666666667,HIGH,IT Services,99.75,99.49,99.75,42.12333333333334,99.49,37.31,94.29,4.0,86.47,54.82233502538071,79.0,6
25,HSCL,Basic Materials,Specialty Chemicals,349647339520.0,1.619,50.088,166.78,36.81,58.94,-22.97,104.16,9.45,5.0,10.0,7846580025.9,11322626.0,98.86666666666667,HIGH,Unknown,96.45,97.97,97.46,24.26,96.45,38.58,75.0,10.0,98.87,70.81218274111674,78.71,7
5,CPPLUS,Industrials,Building Products & Equipment,405052129280.0,3.0473,97.332,266.91,67.29,117.36,-45.75,153.04,7.49,7.0,8.0,1571739412.6,457300.0,89.33333333333333,HIGH,Capital Goods,99.49,99.75,99.49,46.300000000000004,99.75,37.82,53.3,8.0,89.33,74.11167512690355,78.67,8
24,ACMESOLAR,Utilities,Utilities - Renewable,237705789440.0,1.6405,47.11999999999999,150.14,22.58,63.48,-6.68,53.41,18.74,1.0,5.0,996158923.14,2956839.0,84.73333333333333,HIGH,Unknown,95.43,97.46,97.72,26.459999999999997,97.46,47.21,98.48,5.0,84.73,62.69035532994924,78.5,9
39,ADANIENT,Energy,Thermal Coal,4021432877056.0,1.3707,49.048,132.04,40.66,54.64,-36.08,98.26,8.66,6.0,8.0,8764912002.3,2990315.0,99.06666666666666,HIGH,Oil Exploration,95.94,95.69,95.69,19.74,93.15,38.83,65.74,8.0,99.07,97.71573604060913,77.99,10
8,CEMPRO,Industrials,Engineering & Construction,212518420480.0,2.4531,94.006,177.0,71.92,108.73,-67.23,117.08,7.49,7.0,10.0,1136417480.68,918614.0,86.06666666666666,HIGH,Capital Goods,99.24,98.48,99.24,37.806666666666665,98.98,38.07,53.3,10.0,86.07,60.913705583756354,77.8,11
9,BALAMINES,Basic Materials,Specialty Chemicals,69049778176.0,2.4367,90.97,157.37,74.23,102.13,-58.26,114.38,9.45,5.0,8.0,1871290865.23,878087.0,90.6,HIGH,Unknown,98.98,97.72,98.98,39.366666666666674,99.24,38.32,75.0,8.0,90.6,30.20304568527919,77.17,12
36,ACUTAAS,Basic Materials,Specialty Chemicals,262560677888.0,1.4304,52.024,124.9,43.3,57.84,-36.23,93.5,9.45,5.0,8.0,1443880714.95,450228.0,88.26666666666667,HIGH,Unknown,97.46,94.67,95.94,21.636666666666667,94.67,39.09,75.0,8.0,88.27,64.72081218274111,76.76,13
13,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38023553024.0,2.161,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,9.76,4.0,7.0,708801280.35,5471679.0,80.66666666666666,HIGH,Pharma – Formulations,98.73,98.98,98.73,33.26000000000001,98.73,39.34,87.18,7.0,80.67,19.796954314720814,76.6,14
56,BHEL,Industrials,Specialty Industrial Machinery,1313782497280.0,1.1303,44.052,144.47,21.0,59.42,-27.43,51.06,7.49,7.0,2.0,4438093109.47,11762770.0,96.93333333333334,HIGH,Capital Goods,94.42,96.7,93.91,17.663333333333334,90.86,48.73,53.3,2.0,96.93,90.60913705583756,75.57,15
61,ATHERENERG,Consumer Cyclical,Auto Manufacturers,399212052480.0,1.0827,43.690000000000005,129.45,19.09,60.09,-11.05,41.12,5.0,9.0,8.0,4531658208.4,4349000.0,97.06666666666666,HIGH,FMCG – Food,94.16,95.43,93.4,22.710000000000004,95.43,55.33,28.05,8.0,97.07,73.09644670050761,75.31,16
66,DEEPAKFERT,Basic Materials,Chemicals,188903538688.0,1.0619,42.248,118.05,17.12,59.0,-15.22,34.25,9.45,5.0,5.0,739841793.28,494911.0,81.06666666666666,HIGH,Unknown,92.77,92.51,92.26,20.3,93.53,60.03,75.0,5.0,81.07,56.598984771573605,74.71,17
53,GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,188523905024.0,1.1474,36.608,146.84,22.49,46.02,-19.63,71.76,9.76,4.0,7.0,959616158.72,1261325.0,84.33333333333334,HIGH,Pharma – Formulations,90.1,96.95,94.67,16.293333333333337,89.09,41.88,87.18,7.0,84.33,56.34517766497462,74.5,18
