Symbol,Close,AVG_20D_VOLUME,ADV_RUPEES,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
HDFCBANK,746.85,37652594,28120838648.25,100.0,1.0,HIGH
ICICIBANK,1293.3,16706715,21606795583.92,99.93333333333332,2.0,HIGH
RELIANCE,1258.8,17111764,21540289295.8,99.86666666666667,3.0,HIGH
INFY,1145.3,16294495,18662085403.74,99.8,4.0,HIGH
BHARTIARTL,1775.2,10442992,18538398977.25,99.73333333333333,5.0,HIGH
BSE,3929.5,4202606,16514139687.57,99.66666666666667,6.0,HIGH
SBIN,1003.25,15768198,15819444643.5,99.6,7.0,HIGH
TCS,2153.9,5771430,12431081436.43,99.53333333333333,8.0,HIGH
MCX,2743.8,3802558,10433459649.21,99.46666666666667,9.0,HIGH
COALINDIA,451.0,21896214,9875192694.4,99.4,10.0,HIGH
HFCL,169.11,55325562,9356105908.14,99.33333333333333,11.0,HIGH
AXISBANK,1314.5,6870726,9031569195.55,99.26666666666667,12.0,HIGH
ATGL,728.4,12324516,8977177391.09,99.2,13.0,HIGH
ADANIPOWER,220.58,40588751,8953066780.93,99.13333333333333,14.0,HIGH
ADANIENT,2931.1,2990315,8764912002.3,99.06666666666666,15.0,HIGH
BAJFINANCE,884.1,9859293,8716600479.57,99.0,16.0,HIGH
M&M,2952.5,2886898,8523567083.12,98.93333333333332,17.0,HIGH
HSCL,693.0,11322626,7846580025.9,98.86666666666667,18.0,HIGH
LT,3917.5,1837188,7197185557.0,98.8,19.0,HIGH
POWERINDIA,33265.0,201452,6701302443.25,98.73333333333333,20.0,HIGH
TATASTEEL,199.31,33164667,6610049639.01,98.66666666666667,21.0,HIGH
ADANIGREEN,1483.0,4450602,6600242321.1,98.6,22.0,HIGH
ETERNAL,239.8,27054878,6487759719.05,98.53333333333333,23.0,HIGH
WIPRO,178.93,36242897,6484941250.03,98.46666666666667,24.0,HIGH
FEDERALBNK,311.1,19798368,6159272421.19,98.4,25.0,HIGH
HINDALCO,1039.3,5877004,6107970024.51,98.33333333333333,26.0,HIGH
DIXON,11487.0,508158,5837206351.2,98.26666666666667,27.0,HIGH
ADANIENSOL,1535.6,3743861,5749072860.2,98.2,28.0,HIGH
KOTAKBANK,388.1,14802948,5745024189.75,98.13333333333333,29.0,HIGH
ITC,283.65,19405104,5504257645.34,98.06666666666666,30.0,HIGH
HAL,4219.2,1281776,5408068283.79,98.0,31.0,HIGH
SUZLON,54.08,97019370,5246807726.18,97.93333333333332,32.0,HIGH
NATIONALUM,376.15,13617731,5122309394.92,97.86666666666667,33.0,HIGH
SUNPHARMA,1786.4,2849495,5090337223.01,97.8,34.0,HIGH
TMPV,381.0,13355518,5088452491.35,97.73333333333333,35.0,HIGH
SHRIRAMFIN,897.35,5573164,5001078669.07,97.66666666666667,36.0,HIGH
BEL,408.35,12173130,4970897607.71,97.6,37.0,HIGH
ZEEL,102.93,47892705,4929596145.41,97.53333333333333,38.0,HIGH
HINDUNILVR,2169.5,2231916,4842141978.95,97.46666666666667,39.0,HIGH
COFORGE,1402.7,3404946,4776117237.27,97.39999999999999,40.0,HIGH
GVT&D,4866.0,979899,4768188047.4,97.33333333333334,41.0,HIGH
MARUTI,13073.0,362346,4736951872.6,97.26666666666667,42.0,HIGH
PINELABS,150.32,31511537,4736814412.51,97.2,43.0,HIGH
SAIL,181.72,25189360,4577410466.35,97.13333333333334,44.0,HIGH
ATHERENERG,1042.0,4349000,4531658208.4,97.06666666666666,45.0,HIGH
SAREGAMA,438.05,10137092,4440552807.83,97.0,46.0,HIGH
BHEL,377.3,11762770,4438093109.47,96.93333333333334,47.0,HIGH
SAMMAANCAP,174.02,25394917,4419223547.44,96.86666666666667,48.0,HIGH
INDIGO,4524.9,946111,4281057119.02,96.8,49.0,HIGH
HYUNDAI,1891.0,2213441,4185616552.8,96.73333333333333,50.0,HIGH
APOLLOHOSP,8488.5,491053,4168305937.05,96.66666666666667,51.0,HIGH
ULTRACEMCO,10866.0,380201,4131260806.2,96.6,52.0,HIGH
ASHOKLEY,141.54,29019138,4107368640.15,96.53333333333333,53.0,HIGH
TVSMOTOR,3334.9,1231315,4106311106.04,96.46666666666667,54.0,HIGH
TECHM,1478.9,2742992,4056610566.04,96.39999999999999,55.0,HIGH
CANBK,133.46,30216765,4032729613.06,96.33333333333334,56.0,HIGH
AMBER,7625.0,527609,4023016337.5,96.26666666666667,57.0,HIGH
ADANIPORTS,1821.2,2196549,4000355477.91,96.2,58.0,HIGH
MOTHERSON,142.21,28015495,3984083696.49,96.13333333333334,59.0,HIGH
POWERGRID,287.2,13839728,3974769950.02,96.06666666666666,60.0,HIGH
ONGC,251.9,15629840,3937156613.2,96.0,61.0,HIGH
NTPC,351.65,11150083,3920926759.56,95.93333333333334,62.0,HIGH
SOLARINDS,17697.0,217387,3847104817.8,95.86666666666666,63.0,HIGH
HCLTECH,1132.1,3374429,3820191101.73,95.8,64.0,HIGH
LENSKART,500.15,7454904,3728570140.08,95.73333333333333,65.0,HIGH
EICHERMOT,7219.5,509185,3676062190.43,95.66666666666667,66.0,HIGH
MAXHEALTH,1010.1,3608349,3644793438.83,95.6,67.0,HIGH
NLCINDIA,309.6,11665364,3611596873.96,95.53333333333333,68.0,HIGH
GESHIP,1367.8,2634410,3603346605.36,95.46666666666667,69.0,HIGH
BANKBARODA,269.3,13287989,3578455235.1,95.39999999999999,70.0,HIGH
CGPOWER,908.1,3925879,3565090805.67,95.33333333333334,71.0,HIGH
TITAN,4042.1,881699,3563916624.53,95.26666666666667,72.0,HIGH
TMCV,364.9,9644219,3519175290.03,95.19999999999999,73.0,HIGH
BAJAJ-AUTO,10144.0,342130,3470571284.8,95.13333333333334,74.0,HIGH
ASIANPAINT,2715.1,1278092,3470147306.75,95.06666666666666,75.0,HIGH
INDIANB,833.45,3929775,3275271355.1,95.0,76.0,HIGH
GRASIM,3071.2,1024406,3146156578.54,94.93333333333334,77.0,HIGH
POLICYBZR,1509.6,2058754,3107895742.94,94.86666666666666,78.0,HIGH
