Symbol,NEWS_SCORE,NEWS_COUNT,NEWS_BIAS,NEWS_IMPACT,NEWS_SHOCK,NEWS_CATEGORY,NEWS_ALPHA,NEWS_DELTA,NEWS_ACCELERATION,EVENT_SIGNAL
AHLUCONT,28.8,5,POSITIVE,HIGH,NO,ORDERS,100.0,0.0,0.0,STABLE
CMSINFO,20.4,5,POSITIVE,HIGH,NO,ORDERS,99.88479262672811,0.0,0.0,STABLE
HATHWAY,19.35,5,POSITIVE,HIGH,NO,EARNINGS,99.76958525345621,0.0,0.0,STABLE
GTPL,16.47,5,POSITIVE,HIGH,NO,EARNINGS,99.65437788018433,0.0,0.0,STABLE
BLKASHYAP,15.12,5,POSITIVE,HIGH,NO,GENERAL,99.53917050691244,0.0,0.0,STABLE
INDIANHUME,14.76,5,POSITIVE,HIGH,NO,GENERAL,99.42396313364056,0.0,0.0,STABLE
BAJEL,5.46,5,POSITIVE,HIGH,YES,ORDERS,99.30875576036865,-7.44,-14.88,NEWS COLLAPSE
BBTC,12.24,5,POSITIVE,HIGH,NO,EARNINGS,99.19354838709677,0.0,0.0,STABLE
CENTURYPLY,11.55,5,POSITIVE,HIGH,NO,EARNINGS,99.07834101382488,0.0,0.0,STABLE
HGINFRA,12.0,5,POSITIVE,HIGH,NO,ORDERS,98.963133640553,0.0,0.0,STABLE
ADANIPORTS,11.01,5,POSITIVE,HIGH,NO,GENERAL,98.84792626728111,-0.15,-0.3,STABLE
ATLANTAA,10.5,5,POSITIVE,HIGH,NO,GENERAL,98.73271889400922,0.0,0.0,STABLE
AJAXENGG,10.5,5,POSITIVE,HIGH,NO,GENERAL,98.61751152073732,0.0,0.0,STABLE
CCCL,9.39,5,POSITIVE,HIGH,NO,ORDERS,98.50230414746544,0.0,0.0,STABLE
DCI,8.4,5,POSITIVE,HIGH,NO,GENERAL,98.38709677419355,0.0,0.0,STABLE
ANANDRATHI,8.58,5,POSITIVE,HIGH,NO,GENERAL,98.27188940092167,0.0,0.0,STABLE
IOLCP,3.6,5,POSITIVE,HIGH,YES,EARNINGS,98.15668202764977,3.6,7.2,NEWS BREAKOUT
INDIGO,7.23,5,POSITIVE,HIGH,NO,GENERAL,98.04147465437788,0.0,0.0,STABLE
EPACK,7.2,5,POSITIVE,HIGH,NO,GENERAL,97.92626728110599,0.0,0.0,STABLE
COCHINSHIP,7.2,5,POSITIVE,HIGH,NO,GENERAL,97.81105990783409,0.0,0.0,STABLE
BEML,6.75,5,POSITIVE,HIGH,NO,GENERAL,97.6958525345622,0.0,0.0,STABLE
AIAENG,-1.2,5,NEUTRAL,LOW,YES,EARNINGS,97.58064516129032,-7.44,-14.88,NEWS COLLAPSE
COASTCORP,6.0,5,POSITIVE,HIGH,NO,GENERAL,97.46543778801843,0.0,0.0,STABLE
BHARATFORG,5.76,5,POSITIVE,HIGH,NO,GENERAL,97.35023041474655,0.0,0.0,STABLE
DHRUV,6.0,5,POSITIVE,HIGH,NO,GENERAL,97.23502304147466,0.0,0.0,STABLE
HILTON,6.0,5,POSITIVE,HIGH,NO,GENERAL,97.11981566820278,0.0,0.0,STABLE
ALPHAGEO,6.0,5,POSITIVE,HIGH,NO,GENERAL,97.00460829493088,0.0,0.0,STABLE
