ALPHA_RANK,Symbol,Sector,Industry,Market_Cap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,LIQUIDITY_SCORE,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,MULTI_FACTOR_SCORE,FACTOR_RANK,INITIAL_WEIGHT,INITIAL_WEIGHT_%
5,CPPLUS,Industrials,Building Products & Equipment,409636503552.0,3.0501,97.332,266.91,67.29,117.36,-45.75,153.04,7.29,7.0,8.0,89.1373801916933,99.19,99.88,99.54,46.3,99.42,41.59,69.24,97.12,94.24,91.56,1,0.030838250747716435,3.08
35,GAYAPROJ,Industrials,Engineering & Construction,10098503680.0,1.4356,45.50599999999999,199.25,6.77,71.33,3.75,18.91,7.29,7.0,8.0,30.24494142705005,93.55,99.31,96.08,27.28333333333333,96.31,74.42,69.24,97.12,67.63,91.3,2,0.03075068035459273,3.08
25,HSCL,Basic Materials,Specialty Chemicals,354238660608.0,1.6155,50.088,166.78,36.81,58.94,-22.97,104.16,8.99,6.0,10.0,98.93503727369544,95.05,97.93,97.24,24.26,95.28,42.51,81.57,99.54,99.19,90.77,3,0.030572171476302104,3.06
24,ACMESOLAR,Utilities,Utilities - Renewable,238517190656.0,1.655,47.11999999999999,150.14,22.58,63.48,-6.68,53.41,19.02,1.0,5.0,84.66453674121406,94.59,97.12,97.35,26.46,96.2,50.23,99.42,89.8,91.94,90.67,4,0.03053849055586991,3.05
33,ATGL,Utilities,Utilities - Regulated Gas,809130262528.0,1.4923,50.83,121.36,26.41,67.11,-27.08,47.76,19.02,1.0,5.0,99.36102236421723,95.28,94.47,96.31,22.146666666666665,93.89,53.23,99.42,89.8,99.54,90.52,5,0.03048796917522162,3.05
38,ADANIENT,Energy,Thermal Coal,4092639051776.0,1.3923,49.048,132.04,40.66,54.64,-36.08,98.26,9.24,5.0,8.0,99.2545260915868,94.82,95.74,95.74,19.74,92.28,42.86,88.02,97.12,99.42,89.63,6,0.030188208983375098,3.02
26,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1860066082816.0,1.6087,49.804,148.2,20.41,69.4,-15.26,43.58,19.02,1.0,8.0,0.0,94.93,97.0,97.12,24.85,95.74,55.41,99.42,97.12,29.67,89.08,7,0.030002963920998032,3.0
49,DEEPINDS,Energy,Oil & Gas E&P,32204800000.0,1.1623,42.642,123.46,15.99,60.41,-3.48,32.68,9.24,5.0,4.0,66.24068157614484,92.28,94.82,94.47,24.30666666666666,95.39,62.1,88.02,83.99,83.76,88.69,8,0.02987160833131248,2.99
13,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38642896896.0,2.1747,76.52000000000001,193.57,45.95,96.9,-43.07,91.79,10.01,4.0,7.0,0.0,98.04,99.08,98.62,33.26000000000001,98.04,43.55,91.47,94.01,29.67,88.46,9,0.02979414221431843,2.98
8,CEMPRO,Industrials,Engineering & Construction,211796918272.0,2.4559,94.006,177.0,71.92,108.73,-67.23,117.08,7.29,7.0,10.0,0.0,98.96,98.5,99.19,37.806666666666665,98.73,42.05,69.24,99.54,29.67,88.36,10,0.02976046129388624,2.98
50,GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,190456709120.0,1.1611,36.608,146.84,22.49,46.02,-19.63,71.76,10.01,4.0,7.0,84.34504792332268,89.86,96.77,94.35,16.293333333333337,88.94,45.62,91.47,94.01,91.71,87.64,11,0.029517958666774445,2.95
48,GREENPLY,Basic Materials,Lumber & Wood Production,35946807296.0,1.2047,43.052,113.41,25.55,54.72,-7.03,52.95,8.99,6.0,5.0,47.390841320553776,92.4,93.2,94.59,24.41333333333333,95.51,50.46,81.57,89.8,75.58,87.57,12,0.02949438202247191,2.95
29,GOCLCORP,Basic Materials,Specialty Chemicals,19276261376.0,1.5007,55.332,138.5,26.85,74.32,-14.17,50.04,8.99,6.0,5.0,0.0,95.97,96.08,96.77,29.0,97.0,51.5,81.57,89.8,29.67,86.94,14,0.02928219222374909,2.93
64,HONASA,Consumer Defensive,Household & Personal Products,133220376576.0,1.0561,38.636,135.27,25.19,47.6,-22.01,71.58,5.81,8.0,8.0,91.3738019169329,90.78,95.85,92.74,16.926666666666666,89.63,45.97,59.85,97.12,95.85,86.63,15,0.02917778137040929,2.92
67,GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,376685428736.0,1.0477,37.388,109.96,31.7,41.18,-29.9,84.65,10.01,4.0,7.0,91.48029818956336,90.32,92.51,92.4,14.326666666666666,86.06,44.12,91.47,94.01,95.97,86.38,17,0.029093579069328804,2.91
59,ARVIND,Consumer Cyclical,Textile Manufacturing,130179235840.0,1.07,43.332,118.39,31.38,51.3,-26.27,72.42,4.63,9.0,7.0,76.35782747603834,92.51,94.12,93.32,18.80333333333333,91.13,45.39,52.02,94.01,88.13,85.83,22,0.028908334006951742,2.89
27,GRMOVER,Consumer Defensive,Packaged Foods,19193880576.0,1.565,66.972,98.16,52.35,76.72,-35.38,66.98,5.81,8.0,2.0,76.89030883919062,97.41,89.92,97.0,31.23,97.75,47.06,59.85,72.06,88.48,85.49,24,0.028793818877482284,2.88
88,ANGELONE,Financial Services,Capital Markets,306109022208.0,0.7759,37.064,120.27,5.6,58.04,-6.23,11.6,3.68,11.0,7.0,0.0,90.09,94.24,89.98,19.136666666666667,91.71,82.37,40.09,94.01,29.67,85.1,28,0.028662463287796727,2.87
60,ADFFOODS,Consumer Defensive,Packaged Foods,30959558656.0,1.0589,45.738,103.93,26.34,58.67,-18.65,46.66,5.81,8.0,8.0,0.0,93.66,91.01,93.2,22.120000000000005,93.78,53.46,59.85,97.12,29.67,84.94,31,0.028608573815105218,2.86
54,ASTRAMICRO,Technology,Communication Equipment,137480372224.0,1.133,40.042,110.92,31.09,46.01,-29.04,74.95,11.83,2.0,8.0,0.0,91.82,92.74,93.89,16.02,88.48,44.93,97.47,97.12,29.67,84.94,30,0.028608573815105218,2.86
1,HFCL,Technology,Communication Equipment,258782887936.0,4.3806,147.74,340.57,94.61,183.16,-89.75,175.92,11.83,2.0,0.0,99.4675186368477,99.88,100.0,100.0,62.673333333333325,99.77,41.47,97.47,32.66,99.65,83.84,38,0.028238083690351093,2.82
63,GULFPETRO,Energy,Oil & Gas Refining & Marketing,1950152704.0,1.0562,37.914,93.38,32.61,41.45,-15.94,73.46,9.24,5.0,5.0,0.0,90.44,89.29,92.86,19.37333333333333,91.94,45.28,88.02,89.8,29.67,83.34,40,0.028069679088190122,2.81
3,BBOX,Technology,Software - Application,184703172608.0,3.5906,117.44,263.53,110.42,122.12,-106.17,238.28,11.83,2.0,0.0,86.90095846645367,99.65,99.77,99.77,42.12333333333334,99.31,41.24,97.47,32.66,92.86,83.28,41,0.028049470535930807,2.8
56,BOROSCI,Consumer Cyclical,Packaging & Containers,13518172160.0,1.0934,46.558,115.21,33.58,55.21,-32.09,70.08,4.63,9.0,5.0,0.0,93.89,93.55,93.66,18.899999999999995,91.24,46.31,52.02,89.8,29.67,82.61,47,0.02782380836903511,2.78
110,GHCLTEXTIL,Consumer Cyclical,Textile Manufacturing,9101678592.0,0.6839,31.918,92.37,19.9,39.93,-16.01,46.03,4.63,9.0,4.0,45.68690095846645,87.56,88.82,87.44,14.606666666666664,86.64,54.15,52.02,83.99,74.77,81.18,54,0.027342171206854744,2.73
163,IRBINVIT,Unknown,Unknown,85072601088.0,0.4524,22.876,49.14,16.42,27.18,-12.1,29.69,10.6,3.0,8.0,44.19595314164005,79.67,68.26,81.34,10.5,78.05,64.23,95.1,97.12,73.73,80.09,62,0.026975049174143832,2.7
122,CGCL,Financial Services,Credit Services,194181922816.0,0.6038,27.418,106.07,13.0,37.03,-9.98,37.24,3.68,11.0,8.0,0.0,82.83,91.59,86.06,13.35,84.45,58.99,40.09,97.12,29.67,79.64,67,0.02682348503219896,2.68
173,J&KBANK,Financial Services,Banks - Regional,171013636096.0,0.4129,23.914,69.97,15.88,29.27,-9.96,37.96,3.68,11.0,8.0,79.2332268370607,80.53,80.99,80.18,11.73,81.57,58.18,40.09,97.12,89.75,79.41,71,0.026746018915204915,2.67
4,CONFIPET,Unknown,Unknown,,3.143,128.916,232.22,49.44,181.9,-34.03,63.12,0.0,,0.0,0.0,99.77,99.54,99.65,65.77,99.88,48.04,16.82,32.66,29.67,76.85,91,0.02588378735214076,2.59
7,IBULLSLTD,Unknown,Unknown,,2.5705,107.468,204.86,40.88,151.86,-29.51,55.15,0.0,,0.0,0.0,99.42,99.42,99.31,54.41,99.65,49.42,16.82,32.66,29.67,76.81,92,0.02587031498396788,2.59
145,HMVL,Communication Services,Publishing,6028215808.0,0.5024,24.554,66.92,21.14,26.83,-1.96,52.73,2.52,12.0,5.0,0.0,80.88,79.72,83.41,15.336666666666666,87.56,50.81,34.39,89.8,29.67,76.05,100,0.02561433998868321,2.56
148,GANESHHOU,Real Estate,Real Estate - Development,63832817664.0,0.4972,25.49,62.14,25.07,25.77,-13.6,60.45,3.87,10.0,0.0,44.621938232161874,81.45,76.44,83.06,12.413333333333334,82.49,48.62,45.91,32.66,74.08,68.73,218,0.023148896613046643,2.31
325,AURUM,Real Estate,Real Estate Services,13881241600.0,0.0472,12.086,40.75,6.08,16.09,2.94,15.4,3.87,10.0,4.0,33.54632587859425,58.99,60.94,62.67,8.370000000000001,71.54,78.0,45.91,83.99,69.01,67.93,229,0.022879449249589096,2.29
388,AFFLE,Communication Services,Advertising Agencies,207909044224.0,-0.0285,11.636,43.21,6.47,15.08,-4.79,18.54,2.52,12.0,4.0,70.39403620873269,57.95,63.59,55.41,5.586666666666667,59.91,74.88,34.39,83.99,85.83,64.21,274,0.02162651900951149,2.16
