Sector,AVG_RS_5D,AVG_RS_15D,AVG_RS_30D,AVG_RS_60D,AVG_RS_ACCELERATION,AVG_VOL_ADJ_RS,TOTAL_STOCKS,SECTOR_SCORE,SECTOR_RANK
Utilities,2.03,10.94,13.12,38.51,-11.09,29.38,13,18.43,1
Technology,2.39,9.6,18.95,35.38,-16.55,35.78,29,18.42,2
Energy,4.92,9.5,14.4,30.84,-9.48,27.48,16,16.2,3
Healthcare,0.47,2.93,11.71,21.61,-11.24,31.97,45,11.08,4
Industrials,1.46,3.25,6.84,23.07,-5.38,13.11,106,10.89,5
Basic Materials,0.57,2.36,7.9,21.73,-7.33,15.8,71,10.39,6
Real Estate,2.06,0.01,6.48,19.6,-4.42,10.37,18,9.55,7
Consumer Defensive,1.19,1.0,3.66,15.7,-2.47,4.5,36,7.25,8
Communication Services,2.39,4.41,8.87,12.16,-6.48,17.74,10,7.12,9
Unknown,0.52,1.48,3.03,14.94,-2.5,5.98,377,6.69,10
Consumer Cyclical,1.13,2.63,3.86,11.89,-2.73,8.76,79,5.75,11
Financial Services,0.24,0.35,2.53,8.26,-2.29,5.35,68,3.86,12
