Sector,AVG_MOMENTUM,AVG_SHARPE,AVG_INSTITUTIONAL_SCORE,BUY_COUNT,STRONG_BUY_COUNT,TOTAL_STOCKS,SECTOR_SCORE
Utilities,16.23,69.22,1466.09,13,13,13,467.08
Healthcare,7.81,91.47,1246.86,47,47,47,404.62
Energy,8.71,64.41,1109.42,15,15,16,355.63
Technology,10.08,51.52,1059.79,29,29,29,337.42
Basic Materials,7.47,30.31,1081.26,104,104,104,336.46
Unknown,8.71,23.41,1018.02,258,255,265,315.91
Industrials,5.44,17.5,959.0,125,124,128,295.13
Consumer Cyclical,4.0,17.11,944.01,93,93,96,289.94
Consumer Defensive,4.75,0.56,919.67,49,49,50,277.97
Financial Services,2.36,14.48,861.38,90,88,90,263.7
Real Estate,2.77,3.56,824.09,16,16,16,249.4
Communication Services,1.34,3.61,754.03,14,14,14,227.83
