Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
OMAXAUTO.NS,26.28,25.42,139.08,152.07,-112.80000000000001,192.86
SIGMAADV.NS,26.27,40.58,133.39,159.74,-107.11999999999999,228.75
STLTECH.NS,24.81,52.41,109.77,228.91,-84.96,158.29
HFCL.NS,23.52,25.13,101.69,166.51,-78.17,191.65
SHYAMTEL.NS,-10.45,-24.59,97.54,95.23,-107.99000000000001,130.49
MODISONLTD.NS,57.89,67.63,93.78,110.24,-35.89,147.53
ONELIFECAP.NS,26.16,59.67,93.08,93.5,-66.92,190.42
IDEAFORGE.NS,11.04,5.91,92.12,119.85,-81.08000000000001,135.06
BBOX.NS,4.2,40.43,90.22,103.84,-86.02,195.49
PARACABLES.NS,23.14,52.77,82.72,105.84,-59.58,114.92
APOLLO.NS,15.93,35.97,79.26,86.24,-63.330000000000005,123.89
MTARTECH.NS,4.7,27.72,78.93,123.19,-74.23,128.98
INDOTECH.NS,2.79,0.89,77.73,79.37,-74.94,102.92
SASKEN.NS,24.5,64.4,75.39,97.08,-50.89,119.82
VINDHYATEL.NS,28.9,45.16,74.32,113.75,-45.419999999999995,123.06
GVPIL.NS,23.06,31.43,74.12,83.79,-51.06,110.13
NINSYS.NS,9.4,31.57,68.9,122.66,-59.50000000000001,122.76
DSSL.NS,19.85,34.7,68.87,105.98,-49.02,111.57
VIDYAWIRES.NS,25.52,30.06,68.0,142.78,-42.480000000000004,131.91
MCLEODRUSS.NS,4.94,31.26,67.99,98.06,-63.05,110.09
BALAMINES.NS,-1.7,24.18,67.78,78.97,-69.48,111.38
FCL.NS,11.84,53.84,67.56,69.03,-55.72,113.19
NOIDATOLL.NS,-0.88,65.41,66.94,72.39,-67.82,91.51
KSHITIJPOL.NS,15.88,21.38,65.73,74.8,-49.85,101.76
UFBL.NS,19.26,36.17,64.87,109.32,-45.61,70.6
SANCO.NS,-12.06,17.14,63.67,64.31,-75.73,122.62
WHEELS.NS,4.59,34.12,61.44,97.27,-56.849999999999994,127.74
ANLON.NS,12.96,11.75,61.33,82.73,-48.37,117.96
CALSOFT.NS,-12.28,-6.58,61.19,48.96,-73.47,84.68
CEMPRO.NS,15.39,7.04,60.15,78.62,-44.76,101.96
LLOYDSENGG.NS,14.01,37.13,59.73,69.94,-45.72,112.23
VMARCIND.NS,7.45,26.07,59.7,89.29,-52.25,94.58
E2E.NS,17.38,28.83,59.63,72.14,-42.25,96.64
VISASTEEL.NS,3.96,11.71,58.27,38.98,-54.31,110.07
VERANDA.NS,-3.79,6.99,57.52,29.31,-61.31,94.19
KSHINTL.NS,24.91,43.81,57.43,142.97,-32.519999999999996,98.08
UCL.NS,2.76,21.98,57.22,138.33,-54.46,110.68
IOLCP.NS,8.78,39.24,56.51,94.46,-47.73,114.1
SUNFLAG.NS,10.75,0.54,56.4,74.49,-45.65,109.17
PREMEXPLN.NS,27.61,29.54,56.08,56.79,-28.47,93.43
TRITURBINE.NS,8.4,31.33,56.07,57.8,-47.67,134.12
SBCL.NS,13.11,28.1,55.94,69.04,-42.83,101.29
SPARC.NS,19.26,43.41,55.03,84.63,-35.769999999999996,77.85
HITECHCORP.NS,54.66,62.74,54.94,59.17,-0.28000000000000114,86.68
CORDSCABLE.NS,23.04,17.76,54.49,53.98,-31.450000000000003,96.51
GRWRHITECH.NS,0.91,15.94,53.86,54.21,-52.95,83.48
DEEDEV.NS,17.71,31.93,53.83,113.89,-36.12,85.5
IDEA.NS,3.33,27.71,52.88,38.22,-49.550000000000004,109.08
GUJTHEM.NS,20.28,16.3,52.32,43.95,-32.04,83.37
ACCORD.NS,3.91,35.98,52.26,110.24,-48.349999999999994,107.37
BLISSGVS.NS,35.4,50.73,51.65,100.42,-16.25,77.01
FONEBOX.NS,37.29,55.42,51.6,30.94,-14.310000000000002,87.07
INSPIRISYS.NS,0.05,49.58,50.96,51.93,-50.910000000000004,112.49
UNIVCABLES.NS,15.45,12.19,50.79,83.67,-35.34,82.06
PRECOT.NS,16.78,40.55,50.51,90.95,-33.73,73.73
BHAGYANGR.NS,-5.2,-2.07,50.47,100.78,-55.67,77.26
NRBBEARING.NS,5.56,33.59,50.29,50.16,-44.73,123.2
WALCHANNAG.NS,9.97,4.47,48.59,66.32,-38.620000000000005,72.96
ROLLT.NS,-10.17,-13.88,48.01,61.68,-58.18,60.01
OFSS.NS,5.04,11.22,47.48,74.57,-42.44,136.02
IBULLSLTD.NS,14.2,-2.45,46.78,134.52,-32.58,63.81
CADSYS.NS,-1.04,4.98,46.53,59.24,-47.57,124.26
BHEL.NS,2.34,11.37,46.37,71.57,-44.03,113.93
SANDHAR.NS,32.54,41.92,46.24,55.38,-13.700000000000003,94.78
ZEELEARN.NS,21.83,28.61,46.22,30.69,-24.39,77.56
