Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%,YF_SYMBOL,VOLATILITY,RISK_SCORE,FINAL_WEIGHT,FINAL_WEIGHT_%
OFSS,92.01,7.0,11.56,HIGH,100,16,98.68,0.0496560608271649,4.97,OFSS.NS,0.35279782308075197,21104.011172698793,0.07910947623605079,7.91
STLTECH,93.95,7.0,17.5,HIGH,100,1,116.5,0.0586231362623096,5.86,STLTECH.NS,0.5878511415402486,19577.87301364289,0.07338866849771201,7.34
RUBICON,91.82,7.0,11.78,HIGH,100,18,99.34,0.0499881747321702,5.0,RUBICON.NS,0.4536432486918576,16690.377784378783,0.06256474344612348,6.26
VENUSREM,93.1,7.0,12.71,HIGH,100,6,102.13,0.0513921107851474,5.14,VENUSREM.NS,0.4986026814236203,16612.640301792817,0.062273340476282336,6.23
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8,97.12,0.0488710643244249,4.89,GAYAPROJ.NS,0.43924185287421913,16346.54064273807,0.06127585215606929,6.13
DEEPINDS,92.3,7.0,11.0,HIGH,100,13,97.0,0.0488106799780603,4.88,DEEPINDS.NS,0.494126810896447,14383.149918755204,0.05391598058710716,5.39
HFCL,93.92,5.0,15.04,HIGH,100,2,105.12,0.052896687415399,5.29,HFCL.NS,0.49949720590044855,14139.786802746672,0.05300372137320407,5.3
NINSYS,93.85,5.0,13.54,HIGH,100,3,100.62,0.0506322744267261,5.06,NINSYS.NS,0.4514214322754525,14074.752649588583,0.05275993749005075,5.28
KERNEX,92.72,7.0,12.51,HIGH,100,11,101.53,0.0510901890533244,5.11,KERNEX.NS,0.5949155386478495,13648.139731657266,0.05116075692589622,5.12
SIGMAADV,91.78,5.0,15.32,HIGH,100,19,105.96,0.0533193778399513,5.33,SIGMAADV.NS,0.5403112304083539,13011.663656679199,0.048774893474808345,4.88
BBOX,93.55,5.0,13.71,HIGH,100,4,101.13,0.0508889078987757,5.09,BBOX.NS,0.4930952284451321,13005.302282525683,0.04875104753512854,4.88
SASKEN,93.5,5.0,13.36,HIGH,100,5,100.08,0.0503605448680853,5.04,SASKEN.NS,0.48088108524128126,12988.24219061596,0.04868709689918199,4.87
IOLCP,92.11,5.0,12.19,HIGH,100,15,96.57,0.0485943027369204,4.86,IOLCP.NS,0.4687868190546309,11975.815598487956,0.04489196351078103,4.49
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20,93.99,0.0472960392900813,4.73,ADANIPOWER.NS,0.4540568188568113,11430.888788472914,0.04284927720937119,4.28
BLISSGVS,92.86,5.0,13.32,HIGH,100,9,99.96,0.0503001605217207,5.03,BLISSGVS.NS,0.5819758288298881,10626.688762030573,0.03983469186063078,3.98
PREMIERENE,93.05,5.0,10.71,HIGH,100,7,92.13,0.0463600819214299,4.64,PREMIERENE.NS,0.4720358546585192,10556.036052822055,0.03956984652983535,3.96
SUVEN,92.42,5.0,12.36,HIGH,100,12,97.08,0.04885093620897,4.89,SUVEN.NS,0.579470423247477,9856.50996299554,0.03694763684055989,3.69
EMMVEE,92.84,5.0,11.43,HIGH,100,10,94.29,0.0474470001559928,4.74,EMMVEE.NS,0.5848343593739311,9072.32264137131,0.03400807014980216,3.4
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14,92.28,0.0464355623543856,4.64,SOUTHWEST.NS,0.5581695621437877,8887.797430132967,0.033316367861836345,3.33
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17,95.76,0.0481867083989593,4.82,ANTELOPUS.NS,0.6236811728020372,8781.15973165402,0.03291663093956818,3.29
