Symbol,Sector,Industry,MarketCap
RELIANCE.NS,Energy,Oil & Gas Refining & Marketing,17879101603840
HDFCBANK.NS,Financial Services,Banks - Regional,11464239742976
BHARTIARTL.NS,Communication Services,Telecom Services,11141302452224
ICICIBANK.NS,Financial Services,Banks - Regional,9007542566912
SBIN.NS,Financial Services,Banks - Regional,8902007586816
TCS.NS,Technology,Information Technology Services,8172897566720
BAJFINANCE.NS,Financial Services,Credit Services,5647386542080
LT.NS,Industrials,Engineering & Construction,5607911325696
LICI.NS,Financial Services,Insurance - Life,5203575701504
HINDUNILVR.NS,Consumer Defensive,Household & Personal Products,5059844767744
INFY.NS,Technology,Information Technology Services,4698985725952
MARUTI.NS,Consumer Cyclical,Auto Manufacturers,4127162368000
AXISBANK.NS,Financial Services,Banks - Regional,4001237565440
KOTAKBANK.NS,Financial Services,Banks - Regional,3821432209408
NTPC.NS,Utilities,Utilities - Regulated Electric,3751640301568
M&M.NS,Consumer Cyclical,Auto Manufacturers,3657041707008
TITAN.NS,Consumer Cyclical,Luxury Goods,3614620516352
ITC.NS,Consumer Defensive,Tobacco,3594704388096
ULTRACEMCO.NS,Basic Materials,Building Materials,3377655709696
ONGC.NS,Energy,Oil & Gas Integrated,3338805968896
HCLTECH.NS,Technology,Information Technology Services,3202951413760
JSWSTEEL.NS,Basic Materials,Steel,3119129296896
BEL.NS,Industrials,Aerospace & Defense,3002491731968
BAJAJ-AUTO.NS,Consumer Cyclical,Auto Manufacturers,2921182527488
HAL.NS,Industrials,Aerospace & Defense,2878273486848
BAJAJFINSV.NS,Financial Services,Financial Conglomerates,2851099377664
COALINDIA.NS,Energy,Thermal Coal,2821913313280
NESTLEIND.NS,Consumer Defensive,Packaged Foods,2741098774528
POWERGRID.NS,Utilities,Utilities - Regulated Electric,2702290452480
HINDZINC.NS,Basic Materials,Other Industrial Metals & Mining,2674415632384
DMART.NS,Consumer Defensive,Discount Stores,2644198031360
TATASTEEL.NS,Basic Materials,Steel,2594393817088
ASIANPAINT.NS,Basic Materials,Specialty Chemicals,2561114112000
HINDALCO.NS,Basic Materials,Aluminum,2519473586176
ETERNAL.NS,Consumer Cyclical,Internet Retail,2303805358080
SHRIRAMFIN.NS,Financial Services,Credit Services,2228483522560
WIPRO.NS,Technology,Information Technology Services,2142657052672
GRASIM.NS,Basic Materials,Building Materials,2117526749184
IOC.NS,Energy,Oil & Gas Refining & Marketing,1980362522624
EICHERMOT.NS,Consumer Cyclical,Auto Manufacturers,1970068783104
SBILIFE.NS,Financial Services,Insurance - Life,1835904139264
VBL.NS,Consumer Defensive,Beverages - Non-Alcoholic,1785852329984
DIVISLAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic,1769878978560
ICICIAMC.NS,Financial Services,Asset Management,1748933804032
POWERINDIA.NS,Industrials,Electrical Equipment & Parts,1713584472064
INDIGO.NS,Industrials,Airlines,1703180107776
BSE.NS,Financial Services,Financial Data & Stock Exchanges,1683851837440
SOLARINDS.NS,Basic Materials,Specialty Chemicals,1651172048896
