Symbol,Current_Price,EMA50,ATR,ATR_Stop,Hard_Stop,Stop_Type,Action
STLTECH,651.6,374.23,25.32,575.64,553.86,REGIME,REDUCE
HFCL,197.08,132.15,10.35,166.02,167.52,REGIME,REDUCE
SIGMAADV,458.7,299.71,21.04,395.6,389.9,REGIME,REDUCE
OFSS,10098.0,8885.83,337.75,9084.75,8583.3,REGIME,REDUCE
VENUSREM,1555.8,1050.69,55.75,1388.56,1322.43,REGIME,REDUCE
IOLCP,136.16,104.97,8.1,111.86,115.74,REGIME,REDUCE
RUBICON,1295.0,957.98,54.23,1132.32,1100.75,REGIME,REDUCE
ADANIPOWER,230.03,209.26,9.04,202.92,195.53,REGIME,REDUCE
GAYAPROJ,20.9,17.54,1.03,17.8,17.76,REGIME,REDUCE
DEEPINDS,525.25,463.05,24.97,450.35,446.46,REGIME,REDUCE
ANTELOPUS,915.35,698.93,40.08,795.1,778.05,REGIME,REDUCE
SOUTHWEST,264.25,237.4,16.0,216.26,224.61,REGIME,REDUCE
