Symbol,FINAL_WEIGHT,TARGET_VALUE,ACTION,ORDER_VALUE
OFSS,0.0791094757888203,79109.0,HOLD,79109.0
STLTECH,0.073388668082823,73389.0,HOLD,73389.0
RUBICON,0.0625647430924255,62565.0,HOLD,62565.0
VENUSREM,0.0622733401242317,62273.0,HOLD,62273.0
GAYAPROJ,0.0612758518096578,61276.0,HOLD,61276.0
DEEPINDS,0.0539159802823033,53916.0,HOLD,53916.0
HFCL,0.0530037210735575,53004.0,HOLD,53004.0
NINSYS,0.0527599371917824,52760.0,HOLD,52760.0
KERNEX,0.0511607566366685,51161.0,HOLD,51161.0
SIGMAADV,0.0487748931990687,48775.0,HOLD,48775.0
BBOX,0.0487510472595237,48751.0,HOLD,48751.0
SASKEN,0.0486870974305493,48687.0,HOLD,48687.0
IOLCP,0.0448919660649571,44892.0,HOLD,44892.0
ADANIPOWER,0.0428492769671309,42849.0,HOLD,42849.0
BLISSGVS,0.0398346911714238,39835.0,HOLD,39835.0
PREMIERENE,0.0395698488088795,39570.0,HOLD,39570.0
SUVEN,0.0369476366316834,36948.0,HOLD,36948.0
EMMVEE,0.0340080699575439,34008.0,HOLD,34008.0
SOUTHWEST,0.0333163676734885,33316.0,HOLD,33316.0
ANTELOPUS,0.0329166307534802,32917.0,HOLD,32917.0
