Symbol,FINAL_WEIGHT,TARGET_VALUE,ACTION,ORDER_VALUE,TRANSACTION_COST,NET_ORDER_VALUE
OFSS,0.0791094757888203,79109.0,HOLD,79109.0,181.95,78927.05
STLTECH,0.073388668082823,73389.0,HOLD,73389.0,168.79,73220.21
RUBICON,0.0625647430924255,62565.0,HOLD,62565.0,143.9,62421.1
VENUSREM,0.0622733401242317,62273.0,HOLD,62273.0,143.23,62129.77
GAYAPROJ,0.0612758518096578,61276.0,HOLD,61276.0,140.93,61135.07
DEEPINDS,0.0539159802823033,53916.0,HOLD,53916.0,124.01,53791.99
HFCL,0.0530037210735575,53004.0,HOLD,53004.0,121.91,52882.09
NINSYS,0.0527599371917824,52760.0,HOLD,52760.0,121.35,52638.65
KERNEX,0.0511607566366685,51161.0,HOLD,51161.0,117.67,51043.33
SIGMAADV,0.0487748931990687,48775.0,HOLD,48775.0,112.18,48662.82
BBOX,0.0487510472595237,48751.0,HOLD,48751.0,112.13,48638.87
SASKEN,0.0486870974305493,48687.0,HOLD,48687.0,111.98,48575.02
IOLCP,0.0448919660649571,44892.0,HOLD,44892.0,103.25,44788.75
ADANIPOWER,0.0428492769671309,42849.0,HOLD,42849.0,98.55,42750.45
BLISSGVS,0.0398346911714238,39835.0,HOLD,39835.0,91.62,39743.38
PREMIERENE,0.0395698488088795,39570.0,HOLD,39570.0,91.01,39478.99
SUVEN,0.0369476366316834,36948.0,HOLD,36948.0,84.98,36863.02
EMMVEE,0.0340080699575439,34008.0,HOLD,34008.0,78.22,33929.78
SOUTHWEST,0.0333163676734885,33316.0,HOLD,33316.0,76.63,33239.37
ANTELOPUS,0.0329166307534802,32917.0,HOLD,32917.0,75.71,32841.29
